,0,1
10,"Владимир Уйба тшӧктіс Коми Республикаса йӧзлысь дзоньвидзалун видзан министерстволы ньӧбны Челядьлы республиканскӧй клиническӧй больничаӧ компьютернӧй томограф, операционнӧй микроскоп да реанимационнӧй оборудование.","Владимир Уйба поручил Министерству здравоохранения Республики Коми проработать вопрос о приобретении для Республиканской детской клинической больницы компьютерного томографа, операционного микроскопа и реанимационного оборудования."
11,Коми язык,Русский язык
12,Комиын моз тӧлыссянь кутасны сетны «арктикаса» гектаръяс ,В Коми с августа начнут выдавать «арктические» гектары 
13,Сэні позьӧ стрӧитны олан керка либӧ нуӧдны экономика удж.,Использовать землю можно для строительства жилого дома или ведения любой экономической деятельности.
14,"Федеральнӧй оланпас бала серти, 2021 вося моз тӧлысь 1 лунсянь гражданалы кутасны дон босьттӧг сетны Арктика зонаын му участокъяс.","Согласно проекту федерального закона, предоставление гражданам в безвозмездное пользование земельных участков на территории Арктической зоны стартует 1 августа 2021 года."
15,"Мынтысьтӧг позьӧ 5 во кежлӧ босьтны семьяӧ 1 пырысь вылӧ 1 гектарӧдз му участок, а сэсся оформитны сійӧс ас эмбурӧ либӧ дыр кадколаста кӧртымалӧмӧ.","Получить бесплатно можно будет участок земли размером до 1 гектара на 1 члена семьи сроком на 5 лет, а затем оформить его в собственность или долгосрочную аренду."
16,"Коми Республикаын Арктика зонаӧ пырӧны Воркута, Усинск, Инта кар кытшъясса да Чилимдін районса муниципальнӧй юкӧнъяс.","В Республике Коми к территории Арктической зоны относятся муниципальные образования городских округов Воркута, Усинск, Инта и Усть-Цилемского района."
17,"Тайӧ муниципалитетъясын пасйӧм йӧз вермасны босьтны му участокъяссӧ оланпас збыльмӧдан медводдза 6 тӧлысьӧ, а та бӧрын татшӧм инӧдыс лоас Коми Республикаса да Россияса быд гражданинлӧн.","Жители, зарегистрированные в этих муниципалитетах, будут иметь право на получение земельных участков в первые 6 месяцев реализации закона, а по истечении этого периода такое право появится у любого гражданина Коми и России."
18,«Арктикаса» гектарсӧ вермасны босьтны и Суйӧр сайын олысь соотечественникъяслы Россия Федерацияӧ асвӧляысь овмӧдчыны отсалӧм серти канму уджтасын участвуйтысьяс.,"Получить «арктический» гектар смогут и участники Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом."
19,Комиын артмӧдӧма республикаын «Арктикаса гектар» уджтас збыльмӧдан юалӧмъяс серти уджалан группа.,В Коми создана рабочая группа по вопросам реализации на территории республики программы «Арктический гектар».
20,"Сэтчӧ пырӧны регионса Веськӧдлан котырӧ пырысьяс, федеральнӧй да республиканскӧй ведомствоясӧс петкӧдлысьяс.","В составе которой члены регионального правительства, представители федеральных и республиканских ведомств."
21,"Сы йылысь, мый уджтасыс колана, сёрнитісны и Москваын «Арктика-2021» войтыркостса VI конференция дырйи.",О важности программы говорили и на прошедшей недавно в Москве VI Международной конференции «Арктика-2021».
22,Сэні участвуйтіс Коми Республикаса Веськӧдлан котырӧн Юрнуӧдысьӧс вежысь Ирина Бахтина.,В которой принимала участие заместитель Председателя Правительства Республики Коми Ирина Бахтина.
23,"«Арктикаса гектар» да «Арктикаса ипотека» уджтасъяс примитӧмыс, а сідзжӧ Арктика зонса уна челядя семьяяслы оланін кокньӧда (дон босьттӧг) сетан механизм дасьтӧмыс тшӧтш отсаласны сӧвмӧдны арктика мутасъяссӧ.","«Принятие программ ""Арктический гектар"" и ""Арктическая ипотека"", а также разработка механизма льготного (бесплатного) предоставления жилья для многодетных семей Арктической зоны должны стать ещё одним импульсом для развития арктических территорий."
24,"Та дырйи сы могысь, медым йӧзыс эзджык мунны да медым могмӧдны йӧзлы бур условиеяссӧ, Арктикаын колӧ лӧсьӧдны оз сӧмын выль уджалан местаяс, но и технологичнӧй, энергия видзан олан, транспорт да социальнӧй инфраструктура», - казьтыштіс Ирина Бахтина.","При этом прекращению оттока населения и обеспечению комфортных условий для реализации человеческого потенциала в Арктике должны содействовать не только появление новых рабочих мест, но и создание технологичной, энергоэффективной жилой, транспортной и социальной инфраструктуры», – напомнила Ирина Бахтина."
25,Коми язык,Русский язык
26,Владимир Уйба «Войтырлӧн сьӧмкуд» проект йылысь ,Владимир Уйба о проекте «Народный бюджет» 
27,"Коми Республикаса Юралысь Владимир Уйба висьталіс, мый «Войтырлӧн сьӧмкуд» проектын 2021 воӧ воссис кык выль нырвизь: ӧткодь позянлунъяса гӧгӧртас юкӧнын да гӧгӧртас видзан юкӧнын.","Глава Республики Коми Владимир Уйба рассказал, что в 2021 году появилось два новых направления в проекте «Народный бюджет»: в сфере доступной среды и в сфере охраны окружающей среды."
28,Ставнас таво збыльмӧдасны 13 нырвизь серти 447 проект.,Всего в этом году будут реализованы 447 народных проектов по 13 направлениям.
29,2020 во серти тайӧ матӧ кык пӧв унджык.,"Это почти в два раза больше, чем в 2020 году."
30,«Проектъясыс быд сикасаӧсь.,«Проекты самые разные.
31,"Медунаыс, дерт, гӧгӧртас бурмӧдан юкӧнын – тайӧ туйяс, памятникъяс да керка йӧръяс дзоньталӧм, ывла би лӧсьӧдӧм серти 131 проект.","Больше всего, конечно, в сфере благоустройства – это 131 проект по ремонту дорог, памятников и дворовых территорий, обустройству уличного освещения."
32,Эмӧсь производство ладмӧдӧм серти проектъяс.,Есть проекты по налаживанию производства.
33,"Шуам, нянь пӧжалӧм вылӧ, йӧла сёян да вый вӧчӧм вылӧ, град выв пуктас да рӧсада быдтӧм вылӧ оборудование ньӧбӧм.","Например, приобретение оборудования для хлебопечения, для производства молочных продуктов и масла, для выращивания овощей и рассады."
34,"Мылдінын, шуам, кӧсйӧны ньӧбны пеллет вӧчан оборудование.","В Троицко-Печорске, например, хотят приобрести оборудование для производства пеллет."
35,Уна проект сиӧма йӧзӧс уджӧн могмӧдӧмлы.,Много проектов в области занятости населения.
36,"Тайӧ зэв тӧдчана сикт-грездъяслы, кӧні йӧзыс ёнджыка уджтӧмалӧны», - висьталіс Владимир Уйба.","Что очень важно для сельских территорий, где наиболее остро стоит проблема безработицы», - сказал Владимир Уйба."
37,"Войтырлысь проектъяс збыльмӧдӧм вӧсна грездъясын, сиктъясын да посёлокъясын лоасны спорт площадкаяс, бурмӧдасны ӧшмӧсъяс да стрӧитасны пӧжарнӧй водоёмъяс.","Благодаря реализации народных проектов в деревнях, селах и посёлках появятся спортивные площадки, будут благоустроены источники и построены пожарные водоёмы."
38,"«Республикаса пыдди пуктана олысьяс, талун тіян эм позянлун бурмӧдны олӧмныдтӧ.","«Уважаемые жители республики, сегодня у вас есть возможность сделать свою жизнь комфортней."
39,Муниципальнӧй юкӧнъясса администрацияясын виччысьӧны тіянлысь вӧзйӧмъясныдтӧ.,В администрациях муниципальных образований ждут ваших предложений.
40,"Чукӧртчылӧмъяслысь графиксӧ позьӧ аддзыны «Водзмӧстчысь дінму» порталын (https://signal.rkomi.ru/budzhet), «ВКонтакте» социальнӧй везйын «Коми Республикаса войтырлӧн сьӧмкуд» группаын (https://vk.com/nb_rk) да муниципальнӧй юкӧнъяслӧн юӧртан ресурсъясын», - кывкӧрталіс Коми Республикаса Юралысь.","С графиками собраний можно ознакомиться на портале «Активный регион» (https://signal.rkomi.ru/budzhet), в группе «Народный бюджет Республики Коми» в соцсети «ВКонтакте» https://vk.com/nb_rk и на информационных ресурсах муниципальных образований», - резюмировал Глава Коми."
41,Коми язык,Русский язык
42,Владимир Уйба сёрнитіс Ольга Захаровакӧд Коми Республикаын экологическӧй туризм сӧвмӧдӧм йылысь ,Владимир Уйба обсудил с Ольгой Захаровой вопросы развития в Республике Коми экологического туризма 
43,Рака тӧлысь 12 лунӧ Войвыв регионъясса медводдза туристскӧй конгресс дырйи Коми Республикаса Юралысь аддзысьліс «Выль проектъяс сӧвмӧдӧм серти стратегическӧй водзмӧстӧмъяс агентство» автономнӧй абу коммерческӧй организацияса медыджыд директорӧс вежыськӧд.,Встреча Главы Республики Коми с заместителем генерального директора АНО «Агентство стратегических инициатив по продвижению новых проектов» состоялась 12 марта в рамках Первого туристского конгресса регионов Севера.
44,"Аддзысьлӧмын участвуйтіс Коми Республикаса культура, туризм да архив удж министр Сергей Емельянов.","Во встрече принял участие министр культуры, туризма и архивного дела республики Сергей Емельянов."
45,Владимир Уйба да Ольга Захарова сёрнитісны «Комиын вӧрзьӧдлытӧм вӧр» туристско-рекреационнӧй кластер» проект збыльмӧдӧм йылысь.,Владимир Уйба и Ольга Захарова обсудили этапы реализации проекта «Туристско-рекреационный кластер «Девственные леса Коми».
46,"2020 воӧ проектсӧ вылӧ донъялісны экспертъяс да сійӧ лоис вермысьӧн Экологическӧй туризм сӧвмӧдӧм серти пилотнӧй мутасъяс эрдӧдӧм вылӧ Ставроссияса конкурсын, кутшӧмӧс котыртіс Стратегическӧй водзмӧстчӧмъяс агентство.","В 2020 году проект получил высокую экспертную оценку и стал победителем Всероссийского конкурса на выявление пилотных территорий по развитию экологического туризма, организатором которого выступило Агентство стратегических инициатив."
47,"Экспертъяс отсалісны лӧсьӧдны бизнес-стратегия, проектлысь мастер-план, проектӧс паськӧдысь-сӧвмӧдысь маркетинг стратегия да индыны сійӧс збыльмӧдан медводдза тшупӧд.","При поддержке экспертов подготовлены бизнес стратегия, мастер-план проекта, маркетинговая стратегия продвижения проекта и определена первая очередь его реализации."
48,"Аддзысьлігӧн сёрнитісны торйӧн ёна видзан вӧр-ва мутасъясын экология туризм юкӧнса проектъяс сӧвмӧдӧм серти регионлӧн тӧдӧмлунъяс йылысь, Коми Республикалӧн Стратегическӧй водзмӧстчӧмъяс агентствокӧд мукӧд проект серти ӧтувъя удж нуӧдӧм, 2021 во вылӧ уджтасъясын да планъясын сылӧн участвуйтӧм йылысь.","На встрече обсуждён опыт региона по развитию проектов в области экологического туризма на особо охраняемых территориях ООПТ, взаимодействие Республики Коми с Агентством стратегических инициатив по другим проектам, участие в его программах и планы на 2021 год."
49,"«Коми Республикаын туризмлӧн став сикасысь экологическӧй туризм лоӧ медтӧдчанаӧн, – пасйис Коми Республикаса Юралысь. ","«Экологический туризм является одним из приоритетных видов туризма на территории Республики Коми, - отметил глава республики."
50,"– Тані 233 торйӧн ёна видзан мутас, кыкыс на пиысь федеральнӧй тӧдчанлуна, республикалӧн озырлун – «Югыд ва» национальнӧй парк да Печоро-Илычса биосфернӧй канму вӧр-ва заповедник.","– У нас 233 особо охраняемые природные территории, из них две федерального значения, это просто жемчужины - Национальный парк «Югыд ва» и Печоро-Илычский государственный природный биосферный заповедник."
51,Найӧс пыртӧма ЮНЕСКО лӧн ставмирса озырлун лыддьӧгӧ.,Включенные в список Всемирного наследия ЮНЕСКО.
52,Ӧнія кадӧ экологическӧй туризмыс колана.,Экологическое направление туризма востребовано.
53,"Ми лыддям сійӧс, кыдзи и вӧрӧн вӧдитчӧмсӧ, регионӧс сӧвмӧдан драйверӧн.","И мы его ставим в драйвер развития региона, наравне с лесопользованием»."
54,"Ольга Захарова пасйис, мый экологическӧй туризм – тайӧ туризмлӧн сідз шусяна «мӧвпалысь» сикас.","Ольга Захарова отметила, что экологический туризм – это осознанный вид туризма."
55,"И тані колӧ оз сӧмын велӧдчыны перйыны сьӧм, но и видзны вӧр-валысь мичлунсӧ да пемӧсъяслысь оланінсӧ.","И важно не только научиться монетизировать, главное не нарушить хрупкую красоту природы и мир животных."
56,"Колӧ мӧвпавны сы йылысь, мый вермас вайны тайӧ туризм сикасыс экосистемалы.","Нужно смотреть на развитие этого вида туризма стратегически, просчитав последствия вмешательства в экосистему."
57,"«Экотуризмлӧн инфраструктураыс ёна торъялӧ, – тӧдчӧдіс О. Захарова.","«Инфраструктура для экотуризма – это особая инфраструктура, - подчеркнула О. Захарова."
58,"– Эмӧсь йӧз, кодъяс кӧсйӧны лӧсьыда шойччыны, локны вертолётӧн, нимкодясьны да мунны бӧр.","- Человек, который ищет комфорт, должен прилететь на вертолёте, посмотреть, удивиться и впечатлиться и уехать."
59,"Татшӧм йӧзлы колӧ гӧгӧрвоны, мый тані найӧ гӧсьтъяс.","Он должен понимать, что в этом мире он гость."
60,"А йӧзлы, кодъяслы воӧ сьӧлӧм вылӧ активнӧй туризм, инфраструктурасӧ лӧсьӧдӧ бизнес, медым вӧлі конкуренция, ногтуй да безопасносьт».","А для тех, кто предпочитает туризм активный, инфраструктуру должен создавать бизнес, чтобы была конкуренция, чтобы было качество и безопасность»."
61,"Владимир Уйба да Ольга Захарова сёрнитісны сы йылысь, кыдзи паськӧдны республикаын шойччан лунся туръяс да котыртны «Выезднӧй офисъяс».",Владимир Уйба и Ольга Захарова обсудили возможность расширения проводимых в республике туров выходного дня и организации «Офисов на выезде».
62,Ӧнія кадӧ тайӧ нырвизьясыс нималанаӧсь.,Сегодня эти направления набирают популярность.
63,"Татшӧм туръясыс оз сӧмын сӧвмӧдны республикалысь туризм, но и паськыдджыка тӧдмӧдӧны регионкӧд, петкӧдлӧны, кутшӧм сійӧ матын Москвасянь да Санкт-Петербургсянь.","Подобные туры не просто будут способствовать развитию отрасли туризма республики, но пробудят к региону ещё больший интерес и докажут, что Республика Коми – это очень близко и от Москвы, и от Санкт-Петербурга."
64,Коми язык,Русский язык
65,Владимир Уйба аддзысьліс Рытыв-Войвывса йӧзӧс юӧртан средствояслӧн ассоциацияса Правлениеӧ пырысьяскӧд ,Владимир Уйба провёл встречу с членами Правления Ассоциации средств массовой информации Северо-Запада 
66,Аддзысьлісны рака тӧлысь 12 лунӧ Сыктывкарын Войвывса регионъяслӧн медводдза туристскӧй конгресс нуӧдігӧн.,Встреча состоялась 12 марта в Сыктывкаре в рамках проведения Первого туристского конгресса регионов Севера.
67,Коми Республикаса Юралысь вочавидзис журналистъяслӧн юалӧмъяс вылӧ.,Глава Республики Коми ответил на вопросы журналистов.
68,"Сёрнитысьяс видлалісны республикалысь туризм юкӧн сӧвмӧдӧм, Рытыв-Войвывса регионъяслӧн ӧтувъя удж, инвестиция проектъяс збыльмӧдӧм, ылі кар-сиктъясын олӧмсӧ бурмӧдӧм йылысь темаяс.","Участники беседы затронули темы развития туристской отрасли республики, взаимодействия регионов Северо-Запада, реализации инвестиционных проектов, улучшения качества жизни в отдалённых населённых пунктах."
69,«Россияса газетлӧн» Рытыв-Войвыв филиалса директор Анжелика Гурская висьталіс Сем Ӧндрей сиктлӧн мытшӧд йылысь.,Директор Северо-Западного филиала «Российской газеты» Анжелика Гурская рассказала о проблеме в селе Мутный материка.
70,Усинск районса ылі сиктын абу банкомат.,В отдалённом труднодоступном населённом пункте Усинского района нет банкомата.
71,"«Сиктын банкоматыс абу, а сиктса йӧзлы удждонсӧ вуджӧдӧны пластик картаяс вылӧ.","«В селе нет банкомата, между тем заработную плату жителям перечисляют на пластиковые карты."
72,"Позьӧ-ӧ разьны тайӧ мытшӧдсӧ?», - юаліс А. Гурская.","Можно ли решить эту проблему?», - спросила А. Гурская."
73,"Владимир Уйба юӧртіс, мый республикаса Веськӧдлан котырлӧн эм кредитнӧй организациякӧд тайӧ мытшӧдсӧ разьӧм йылысь водзвыв сёрнитчӧм.","Владимир Уйба сообщил, что у Правительства республики есть предварительная договорённость с одной из кредитных организаций о решении проблемы."
74,"Ӧні уджалӧны тайӧ организациякӧд социальнӧй уджъёртасьӧм йылысь артмӧдчӧм серти, лӧсьӧдӧны сикт-грездъяслысь лыддьӧг, кӧні колӧны банкоматъяс.","Сейчас идёт работа над соглашением о социальном партнёрстве с этой организацией, формируется перечень населённых пунктов, где нужны банкоматы."
75,Рытыв-Войвывса йӧзӧс юӧртан средствояслӧн ассоциацияса директор Иван Бенца вӧзйис республикалы участвуйтны Рытыв-Войвывса йӧзӧс юӧртан средствояслӧн форумын да петкӧдлыны регионлысь позянлунъяссӧ.,"Директор АСМИ Северо-Запада Иван Бенца предложил республике принять участие в форуме СМИ Северо-Запада, и презентовать потенциал региона."
76,Форумыс лоас йирым тӧлысьӧ Санкт-Петербургын.,Который пройдёт в октябре в Санкт-Петербурге.
77,"Владимир Уйба примитіс вӧзйӧмсӧ да пасйис, мый презентацияын лоас Коми Республика йылысь медся интереснӧйыс.","Владимир Уйба предложение принял и отметил, что в этой презентации будет представлено всё самое интересное о Республике Коми."
78,«Комиын – аслыспӧлӧс позянлунъяс.,«В Коми – уникальные возможности.
79,Ми вермам вӧзйыны промышленнӧй туризм.,Мы можем предложить промышленный туризм.
80,"Ми вермам петкӧдлыны, кыдзи пуысь вӧчӧны бумага либӧ пластикӧвӧй бутылкаысь кытӧм материал.",Мы можем показать полный цикл производства бумаги из древесины или нетканого материала из пластиковой бутылки.
81,Технологичнӧй производствоӧн тӧдмасьӧмыс сетӧ уна тӧдӧмлун.,"Поверьте, технологичное производство – это завораживающее и познавательное зрелище."
82,"Татшӧм туризмсӧ ньӧбысьыс тшӧтш эм», - висьталіс Коми Республикаса Юралысь Владимир Уйба.","И для такого туризма тоже есть свой потребитель», - рассказал Глава Республики Коми Владимир Уйба."
83,"Фотосӧ вӧчис Виктор Бобырь, «Север-Медиа» юӧртан агентство","Автор фото: Виктор Бобырь, ИА «Север-Медиа»"
84,Коми язык,Русский язык
85,100 во пасъян воӧ Коми Республика лои «Россиялӧн эзысь сикӧтш» проектлӧн юркарӧн ,В год своего векового юбилея Республика Коми стала столицей проекта «Серебряное ожерелье России» 
86,"Та йылысь Владимир Уйба юӧртіс «Туризм: Войвывлӧн выль аддзӧмтор!» пленарнӧй заседание вылын, мый вӧлі рака тӧлысь 12 лунӧ Войвыв регионъясса медводдза туристскӧй конгресс дырйи.","Об этом объявил Владимир Уйба на пленарном заседании «Туризм: новое открытие Севера!», которое состоялось 12 марта в рамках Первого Туристского конгресса регионов Севера."
87,"«100 во пасъян воӧ Коми Республика лоӧ оз сӧмын местаӧн, кӧні позьӧ выль ног видзӧдлыны тӧдсаторъяс вылӧ, но и «Россиялӧн эзысь сикӧтш» аслыспӧлӧс проектлӧн юркарӧн.","«В год своего векового юбилея Республика Коми стала не только местом перезагрузки, но и столицей уникального проекта «Серебряное ожерелье России»."
88,"Регионса туризмлы тайӧ тӧдчанатор да кывкутанатор», – пасйис Коми Республикаса Юралысь.","Это событие для туристской сферы региона невозможно переоценить», - подчеркнул глава республики."
89,"Аслас сёрниын Владимир Уйба вайӧдіс дас помка, мыйла колӧ волыны Коми Республикаӧ.",В своём выступлении Владимир Уйба обозначил десять причин посетить Республику Коми.
90,"Тайӧ дас шемӧсмӧдана ин, кутшӧм оз паныдасьлы Россияын, да вермас ышӧдны путешествуйтысьясӧс волыны нимкодясьны наӧн.","Это десять ключевых туристских локаций с уникальными в масштабах страны событиями и явлениями, которые могут стать магнитом для путешественников."
91,"1. Войкытшсайса Воркута – мирлӧн юркар, Россияса мемориальнӧй туризмлӧн шӧрин.","1. Заполярная Воркута – столица мира, которая является центром мемориального туризма России."
92,2. «Югыд ва» национальнӧй парк да Печоро-Илычса заповедник – реликтӧвӧй парма да «лёгкие Европы».,2. Национальный парк «Югыд ва» и Печоро-Илычский заповедник – реликтовая тайга и «лёгкие Европы».
93,"3. Изьва – важся сикт, кӧні видзӧны коми-изьвасаяслысь традицияяссӧ, оланногсӧ да хороводнӧй гажъяслысь аслыспӧлӧс культурасӧ – «Луд» гаж.","3. Ижма – старинное село, сохранившее традиционный уклад жизни коми-ижемцев и уникальную культуру хороводных гуляний – праздник «Луд»."
94,"4. Чилимдін – старообрядечьяслӧн сикт, кӧні олӧны новгородечьяслӧн ныв-пи, кодъяс ӧнӧдз на видзӧны староверъяслысь культурасӧ.","4. Усть-Цильма – село старообрядцев, в котором живут потомки новгородцев, по сей день сохранившие культуру староверов."
95,"Чилимдінса горка – тайӧ аслыспӧлӧс этнография гаж, кытчӧ быд во волывлӧ уна сюрс путешествуйтысь.","Усть-Цилемская горка – единственный в своём роде этнографический праздник, который ежегодно становится центром притяжения тысяч путешественников."
96,5. Кулӧмдін районса Керчомъя сикт – вӧвлӧм юрист да нималана художник Кандинский олӧмын тӧдчана ин.,5. Село Керчомъя Усть-Куломского района – отправная точка в судьбе бывшего юриста и будущего великого художника Кандинского.
97,6. Ухта – Россияын медводдза перйӧм мусирлӧн чужан му да промышленнӧй туризмлӧн медводдза гӧрӧд.,6. Ухта – родина первой российской нефти и ключевая точка промышленного туризма.
98,"7. Емдін – важся сикт, Коми муын православиелӧн чужанін, паломническӧй туризмлӧн юкӧн.","7. Усть-Вымь – старинное село, колыбель православия Коми края, сегмент паломнического туризма."
99,8. Сыктывдін районса Ыб сикт – Россияын медся важ сикт.,8. Село Ыб Сыктывдинского района – самое древнее село в России.
100,"Тані ӧтлаасьӧма став коланаыс: транспортӧн воӧдчыны позянлун, туристъяслы лӧсьӧдӧм инфраструктура (Финн-угор этнопарк) да эталоннӧй вӧр-ва да сиктса ландшафт.","Здесь идеально сочетаются транспортная доступность, имеющаяся туристская инфраструктура (Финно-угорский этнопарк) и эталонный природно-деревенский ландшафт."
101,9. да 10.,9. и 10.
102,Торъя ыджыд Манарага гӧра да Россиялӧн сизимӧд дивӧ Маньпупунёр плато – ӧнія кадӧ Коми Республикалӧн туристическӧй карта вылын кык медтӧдчана ин.,Величественная гора Манарага и седьмое чудо России плато Маньпупунёр – две главные на сегодняшний день точки на туристской карте Республики Коми.
103,"«Ӧні, Коми мулӧн 10 шемӧсмӧданторйӧн тіянӧс тӧдмӧдігӧн, ме гӧгӧрвои, мый тайӧ аддзывлытӧм инъяс.","«И сейчас, раскрывая перед вами десять причин посетить Коми, я для себя отмечаю, что каждая из них уникальна."
104,2021-2022-ӧд вояс вылӧ «Россиялӧн эзысь сикӧтш» проектын республикаса медшӧр инсӧ ми кутам бӧрйыны став регионӧн.,"И мы, определяя главную точку Республики внутри проекта «Серебряное ожерелье России» в 2021-2022-м годах, сделаем этот выбор всем регионом."
105,"Моз тӧлысь 22 лунӧ, Коми Республикалысь сё вося юбилей пасъян лунӧ, вӧчам кывкӧртӧдъяс войтырлӧн гӧлӧсуйтӧм подув вылын регионса 10 аслыспӧлӧс туристическӧй ин серти», – пасйис Владимир Уйба.","22 августа, в главный день празднования векового юбилея Коми, мы подведем итоги народного голосования среди 10 ключевых туристских локаций республики», - рассказал Владимир Уйба."
106,"Коми Республикаса Юралысь корис Войвывса регионъяслӧн медводдза туристскӧй конгрессын участвуйтысьясӧс медшӧр юбилейнӧй мероприятиеяс вылӧ, кутшӧмъяс прӧйдитасны тавося моз тӧлысьӧ, да вӧзйис тшӧкыдджыка волывлыны республикаӧ помкатӧг.","Глава Коми пригласил участников Первого Туристского конгресса регионов Севера на главные юбилейные мероприятия, которые пройдут в августе этого года, и призвал приезжать в гости чаще, без какого-либо повода, «просто так, много-много раз»."
