,0,1
39,"2022 воӧ Том войтырлысь медводдза Арктикаса Дельфийскӧй ворсӧмъяс котыртӧмысь кывкутысь органъясӧн урчитӧма Коми Республикаса велӧдан, наука да том йӧз политика министерствоӧс Коми Республикаса культура, туризм да архив удж министерствокӧд ӧтув.","Органами, ответственными за организацию Первых молодёжных Арктических Дельфийских игр в 2022 году, определены Министерство образования, науки и молодежной политики Республики Коми совместно с Министерством культуры, туризма и архивного дела Республики Коми."
40,"Нуӧдӧма Сыктывкарын да Воркутаын меститчысь площадкаяслысь мониторинг, кутшӧмъяс колӧны, медым нуӧдны конкурсъяс да фестивальяс.","Проведён мониторинг площадок, расположенных в Сыктывкаре и Воркуте, необходимых для проведения номинаций конкурсной и фестивальной программ."
41,Площадкаясыс лӧсялӧны Россияса Национальнӧй Дельфийскӧй сӧветлӧн медшӧр котыртан да техническӧй корӧмъяслы.,Площадки соответствуют основным организационно-техническим требованиям Национального Дельфийского совета России.
42,"***Дельфийскӧй ворсӧмъяс – искусство юкӧнын медыджыд форум, мый веськӧдӧма енбиа том йӧзӧс корсьӧм да налы отсӧг сетӧм вылӧ.","***Дельфийские игры – крупный форум в области искусств, направленный на поиск и поддержку талантливой молодёжи."
43,Коми Республикаын карын бур оласног лӧсьӧдӧм вылӧ 2021 воӧ веськӧдасны 400 миллионысь унджык шайт ,На формирование комфортной городской среды в Республике Коми в 2021 году направлено более 400 миллионов рублей 
44,"Коми Республикаса стрӧитчан, оланін да коммунальнӧй овмӧс министр Игорь Кузьмичев регионса Веськӧдлан котырлӧн заседание вылын висьталіс сы йылысь, кыдзи збыльмӧдӧны «Оланін да карса гӧгӧртас» национальнӧй проектлысь «Карын бур оласног лӧсьӧдӧм» регионса проект.",Министр строительства и жилищно-коммунального хозяйства Коми Игорь Кузьмичев доложил на заседании Правительства республики о ходе реализации регионального проекта «Формирование комфортной городской среды» нацпроекта «Жильё и городская среда».
45,Заседаниесӧ нуӧдіс Коми Республикаса Юралысь Владимир Уйба.,Заседание провёл Глава Республики Коми Владимир Уйба.
46,"2021 воын планируйтӧма мичмӧдны-бурмӧдны 78 йӧзаин да 76 йӧр, а сідзжӧ нуӧдны мутасъяс мичмӧдӧм-бурмӧдӧм серти 6 мукӧд мероприятие Печора карын Коми Республикаса сьӧмкуд сьӧм тшӧт весьтӧ.","В 2021 году запланировано благоустроить 78 общественных территорий и 76 дворовых территорий, а также провеси 6 иных мероприятий по благоустройству территорий за счет средств республиканского бюджета Республики Коми в ГП «Печора»."
47,"2021 вося вӧльгым тӧлысь 1 лун кежлӧ помасисны уджъяс 75 йӧзаинын да 71 йӧрын, а сідзжӧ нуӧдӧма 6 мукӧд мероприятиесӧ (Печора карын УДС дзоньталӧм).","По состоянию на 01.11.2021 завершены работы на 75 общественных и 71 дворовой территории, а также проведены все 6 иных мероприятий (ремонт УДС в ГП «Печора»)."
48,Та дырйи меставывса сьӧмкуд сьӧм тшӧт весьтӧ сьӧмӧн могмӧдан 5 йӧр колӧ киритны 2021 во вылӧ урчитӧм адреснӧй лыддьӧгысь.,"При этом, 5 дворовых территорий, финансируемых за счет средств местного бюджета, подлежат исключению из адресного перечня на 2021 год."
49,Найӧс кутасны бурмӧдны сёрӧнджык.,В связи с их переносом на более поздние сроки.
50,"3 йӧзаин кӧсйӧны лӧсьӧдны-мичмӧдны во помӧдз (Путеец посёлокын, Улыс Одес посёлокын, Мылдін посёлокын).","На 3 общественных территориях планируется завершить благоустройство до конца года (ГП Путеец, ГП Нижний Одес, ГП Троицко-Печорск)."
51,"2021 воын сьӧм могмӧдан мындаыс – 493,5 млн шайт, ӧтувъя сьӧмкудйысь видзӧма 438,2 млн шайт.","Объем финансирования в 2021 г. – 493,5 млн рублей, освоено средств консолидированного бюджета – 438,2 млн рублей."
52,Коми Республикаса Юралысь вынсьӧдіс эко-сӧветсӧ федеральнӧй тшупӧда экспертъясӧн ,Глава Коми усилил эко-совет экспертами федерального уровня 
53,Владимир Уйба петкӧдіс выль – федеральнӧй – тшупӧд вылӧ Коми Республикаса Юралысь бердын экология серти ӧтйӧза сӧветсӧ.,Владимир Уйба вывел на новый – федеральный – уровень общественный совет по экологии при главе Коми.
54,"Регионӧн юрнуӧдысь нуӧдіс Сӧветлысь план серти ротация да сэтчӧ пырысьяс лыдӧ содтіс федеральнӧй тшупӧда специалистъясӧс сы могысь, медым вӧр-ва видзан юкӧнын бурмӧдны уджсӧ да лӧсьӧдны регионса баласӧ ставроссияса нырвизьяс серти.","Руководитель региона провёл плановую ротацию Совета, усилив его состав специалистами федерального уровня для повышения качества работы и соответствия региональной повестки актуальным общероссийским векторам в сфере охраны природы."
55,"Выльмӧдӧм составӧ пырисны ӧтйӧза организацияясын водзмӧстчысьяс, экологъяс, наука да велӧдан юкӧнӧс петкӧдлысьяс.","В обновлённый состав вошли лидеры общественных организаций, экологи, представители науки и образовательной сферы."
56,"«Ӧні, выль составын, Сӧвет лӧсялӧ аслас индӧм могъясыслы – тайӧ компетентнӧй профессионалъяслӧн команда, кодъяс оз сӧмын тӧдны регионса экологияын мытшӧдъяссӧ, но и аддзӧны петантуйяс тайӧ юкӧнын ставроссияса тшупӧдын», - тӧдчӧдіс Коми Республикаса Юралысь.","«Теперь, в новом составе, Совет соответствует своему предназначению – это команда независимых компетентных профессионалов, не просто владеющих эко-проблематикой регионального уровня, но и знающих инструментарии общероссийского масштаба для решения вопросов в данной области», - отметил глава Коми."
57,"Юралысьлӧн кывъяс серти, сійӧ кӧсйӧ, медым Сӧветӧ пырысьясыс, кодъяслы индӧма тайӧ тӧдчана могъяссӧ, отсаласны бурмӧдны тайӧ сӧвещательно-консультативнӧй органлысь уджсӧ, а стӧчджыка кӧ, кутасны сетны регионса Веськӧдлан котырлы гӧгӧртас видзӧм вылӧ бур условиеяс лӧсьӧдӧм серти вӧзйӧмъяс, могмӧдасны регионын экология боксянь видзчысянлун да мупытшса озырлунӧн вӧдитчысьяс бӧрся видзӧдӧм.","По его словам, он рассчитывает на то, что те члены Совета, которым доверена эта важная миссия, обеспечат эффективность работы данного совещательно-консультативного органа, а именно – будут обозначать Правительству региона качественные предложения по созданию благоприятных условий сохранения окружающей среды, обеспечения эко-безопасности и контроля за недропользователями на территории региона."
58,"«Ми пуктам Сӧвет водзын нӧшта ӧти тӧдчана мог – лӧсьӧдны ӧтувъя удж абу сӧмын бизнескӧд, но и водзмӧстчысьяскӧд, кодъяс дасьӧсь отсавны вӧр-ва видзан оланпастэчасын торкалӧмъяс аддзӧмын да дугӧдӧмын. Ӧд налӧн сьӧлӧмныс висьӧ сы вӧсна, медым видзны вӧр-валысь сӧстӧмлунсӧ», - гӧгӧрвоӧдіс Коми Республикаса Юралысь.","«Мы ставим перед Советом ещё одну значимую задачу – выстроить диалог не только с бизнесом, но и с неравнодушными общественниками на местах, которые готовы нам помогать в выявлении и пресечении нарушений природоохранного законодательства, поскольку всей душой болеют за сохранение чистоты северной природы», - пояснил глава Коми."
59,"Коми Республикаса Юралысь бердын выльмӧдӧм Экологическӧй сӧветӧн юрнуӧдӧ Рашид Исмаилов – Россияса экологическӧй котырӧн веськӧдлысь, «Экология» национальнӧй проект серти Ӧтйӧза-экспертнӧй сӧветса юралысь.","Обновлённый Экологический Совет при Главе Республики Коми возглавил Рашид Исмаилов – председатель Российского экологического общества, глава Общественно-экспертного совета по Национальному проекту «Экология»."
60,"«Ӧні ми чукӧртам уджъёртъяссянь, водзмӧстчысьяссянь да экспертъяссянь 2022 воын Сӧветлӧн удж серти вӧзйӧмъяс.","«Сейчас мы собираем предложения коллег, общественников и экспертов по работе Совета в 2022 году."
61,"Миян медшӧр мог – отсавны регионса власьтъяслы артмӧдны бур ӧтувъя удж федеральнӧй шӧринкӧд, котыртны восьсӧн видлалӧмъяс вӧр-ва видзӧмын тӧдчана юалӧмъяс серти да дерт жӧ, могмӧдны топыд йитӧдъяс ӧтйӧза организацияяскӧд, йӧзӧс юӧртан средствояскӧд да гражданакӧд, кодъяс тӧждысьӧны чужан мулӧн вӧр-ва вӧсна.","Наша ключевая задача – оказать содействие региональным властям в выстраивании эффективных коммуникаций с федеральным центром, организовать открытую дискуссию по самым актуальным природоохранным вопросам и, конечно же, обеспечить конструктивный диалог с общественными организациями, средствами массовой информации и просто неравнодушными к природе родного края гражданами."
62,"Аттьӧала Юралысьӧс водзмӧстчӧмысь да восьсӧн сёрнитны дасьлунысь», - тӧдчӧдіс Рашид Исмаилов.","Благодарен Главе за такой проактивный подход и готовность в открытому разговору», - отметил Рашид Исмаилов."
63,"Коми Республикаса Юралысьлӧн Индӧд серти, Экологическӧй сӧветлысь заседаниеяссӧ кутасны нуӧдны Экологическӧй сӧветӧн веськӧдлысьлӧн помшуӧм серти во джыннас ӧтчыдысь оз гежӧдджыка да вермасны нуӧдны бокын.","Согласно Указу Главы Республики Коми, заседания Экологического совета будут созываться по решению председателя Экологического совета не реже одного раза в полгода и могут быть выездными."
64,*** Исмаилов Рашид Айдынович,*** Исмаилов Рашид Айдынович
65,Чужис 1970 воын Москваын.,Родился в 1970 году в Москве.
66,Отличиеӧн помаліс Москваса экономика да инӧд академия.,Закончил с отличием Московскую академию экономики и права.
67,Велӧдчис Россияса МИД-лӧн дипломатическӧй академияын.,Получил дополнительное образование в Дипломатической академии МИД России.
68,2018 восянь ӧнія кадӧдз – «Россияса экологическӧй котыр» вӧр-ва озырлун видзӧм да дорйӧм серти ставроссияса ӧтйӧза организацияӧн веськӧдлысь.,С 2018 г. По н.в. – Председатель Общероссийской общественной организации по охране и защите природных ресурсов «Российское экологическое общество».
69,"Юрнуӧдӧ «Экология» национальнӧй проект серти Ӧтйӧза-экспертнӧй сӧветӧн, Аграрно-продовольственнӧй политика да вӧр-ваӧн вӧдитчӧм серти Федерацияса Сӧветлӧн комитет бердын Экспертнӧй сӧветын сопредседатель, «Экология да вӧр-ва озырлун» туйвизь серти Россия Федерацияса Каналан Сӧветлӧн Комиссияса Президиумӧ пырысь.","Возглавляет Общественно-экспертный совет по Национальному проекту «Экология», сопредседатель Экспертного совета при Комитете Совета Федерации по аграрно-продовольственной политике и природопользованию, Член Президиума Комиссии Государственного Совета Российской Федерации по направлению «Экология и природные ресурсы»."
70,Рашид Исмаиловлӧн авторскӧй тг-канал: https://t.me/green2018 (Green GR).,Авторский тг-канал Рашида Исмаилова: https://t.me/green2018 (Green GR).
71,Коми Республикаса Юралысь чолӧмалӧ Мам лунӧн ,Поздравление Главы Республики Коми с Днём матери 
72,"«Дона аньяс, мамъяс, ыджыд мамъяс да пӧчьяс!","«Дорогие наши женщины, мамы и бабушки!"
73,"Вӧльгым тӧлысьлӧн бӧръя вежалунӧ миян странаын пасйӧны шань да бур гаж, мый инмӧ быд мортлы, – Мам лун.","В последнее воскресенье ноября в нашей стране отмечается очень искренний и добрый праздник, к которому причастен каждый из нас, – День матери."
74,Мамлӧн тӧждысьӧм да отсӧг миянкӧд чужӧмсянь да став олӧм чӧж.,Материнская забота и поддержка с нами с рождения и на всю жизнь.
75,Мам – медводдза велӧдысь да медбур ёрт.,Мама – первый наставник и самый преданный друг.
76,"Мамлӧн помтӧм-дортӧм радейтӧмыс отсалӧ миянлы венны сьӧкыдлунъяс да шог, шедӧдны ыджыд вермӧмъяс да воӧдчыны пуктӧм могъясӧдз.","Безграничная материнская любовь помогает нам преодолевать любые трудности и невзгоды, достигать успехов и сохранять веру в себя."
77,"Муӧдз копыр став нывбабалы медтӧдчана мам удж вӧчӧмысь, челядьӧс бура быдтӧмысь да семьялӧн бур олӧм понда быд здук тӧждысьӧмысь.","Низкий поклон всем мамам за благородный родительский труд, за воспитание детей и неустанную заботу о благополучии семьи."
78,Медъёна аттьӧала уна челядя да приёмнӧй мамъясӧс.,Особая благодарность многодетным и приёмным матерям.
79,"Мамлунлы, челядьдырлы, семьялӧн институтлы отсалӧм – тайӧ республикаса Веськӧдлан котырлӧн уджын медшӧр мог. Аньяслы, кодъяс регыд лоасны мамъясӧн да кодъяс лоисны нин мамъясӧн, бур условиеяс лӧсьӧдӧм вылӧ веськӧдӧма демография бурмӧдӧм серти регионса, а сідзжӧ да федеральнӧй уджтасъяс збыльмӧдӧмсӧ.","Поддержка материнства, детства, института семьи – это постоянный приоритет в работе Правительства республики, именно на создание комфортных условий тех, кто готовятся стать мамами, и тех, кто ими уже стал, направлено исполнение нами своих – региональных, а также федеральных программ для развития демографии."
80,"Дона мамъяс, лоӧй дзоньвидзаӧсь, шудаӧсь, мед тіянӧс радейтӧны, тӧждысьӧны тіян вӧсна.","Дорогие мамы, будьте здоровы, счастливы и любимы, окружены вниманием и заботой."
81,"Мед челядь отсасьӧны да нимкодьмӧдӧны тіянӧс, мед олӧманыд лоӧ лад да ӧта-мӧдӧс гӧгӧрвоӧм!","Пусть дети будут вам опорой и гордостью, пусть в домах царят гармония, мир и взаимопонимание!"
82,Чолӧмала гажӧн!»,С праздником!»
83,Коми Республикаса Юралысь В.В. Уйба,Глава Республики Коми В.В. Уйба
84,Владимир Уйба прӧверитіс Комиын коммунальнӧй предприятиеяслысь инвестиция уджтасъяссӧ ,Владимир Уйба проверил инвестпрограммы коммунальных предприятий в Коми 
85,Владимир Уйба нуӧдіс Естественнӧй монополияясса субъектъяслӧн уджалӧм серти Коми Республикаса Юралысь бердын Ньӧбысьяслӧн отраслькостса сӧветлысь заседание.,Владимир Уйба провёл заседание Межотраслевого совета потребителей при Главе Республики Коми по вопросам деятельности субъектов естественных монополий.
86,"Видлалісны электроэнергетика юкӧнын республикаса медшӧр предприятиеяслысь (электрическӧй энергия генераторъяслысь, сетевӧй организацияяслысь да энергосбытӧвӧй компаниялысь) инвестиция уджтасъяс.","Рассмотрены инвестиционные программы ключевых предприятий республики в сфере электроэнергетики: генераторов электрической энергии, сетевых организаций и энергосбытовой компании."
87,"«Миянлы быть колӧ видзӧдны, кыдзи «ресурсникъяс» пӧртӧны олӧмӧ инвестиция уджтасъяссӧ, ӧд тайӧ тӧдчӧ кар-районъясын электричествоӧн могмӧдан зумыдлун да качество вылӧ.","«Нам важно отслеживать исполнение «ресурсниками» инвестпрограмм, поскольку от этого зависит надёжность и качество энергоснабжения в городах и районах."
88,2020-2021 воясӧ планируйтӧма збыльмӧдны 200 сайӧ мероприятие.,На период 2020-2021 годов запланировано к реализации более 200 мероприятий.
89,"Тайӧ уджтасъяс серти инвестицияяслӧн ӧтувъя йӧрышыс 4 миллиард сайӧ шайт», - пасйис Владимир Уйба заседание восьтігӧн.","Суммарный объём инвестиций по данным программам составляет свыше 4 миллиардов рублей», - отметил Владимир Уйба, открывая заседание."
90,"Организацияясса юрнуӧдысьяс сёрнитісны 2020 воӧ электроэнергетика юкӧнын инвестиция уджтасъяс олӧмӧ пӧртӧм йылысь, а сідзжӧ 2021 вося бӧртасъяс серти найӧс олӧмӧ пӧртан прогнозъяс йылысь докладъясӧн.","Руководители организаций выступили с докладами об исполнении инвестиционных программ в сфере электроэнергетики за 2020 год, а также о прогнозах их исполнения по итогам 2021 года."
91,Кык во чӧжӧн «Россети Северо-Запад» Коми Республикаын пыртісны 267 км электропередача линияяс да 22 МВА вынйӧр.,За два года «Россети Северо-Запад» ввели в Республике Коми 267 км линий электропередачи и 22 МВА мощности.
92,"Электричество везъяс дорӧ йитӧма 5,5 сюрс потребительӧс.","К электросетям подключили 5,5 тыс. потребителей."
93,"Сетевӧй компания выльмӧдіс Княжпогост, Койгорт, Усинск да Изьва районъясын 35-110 кВ нёль подстанциялысь оборудование.","Сетевая компания модернизировала оборудование четырёх подстанций 35-110 кВ в Княжпогостском, Койгородском, Усинском и Ижемском районах."
94,Сыктыв районын «Визин» 110 кВ питание шӧринын мавтасӧн уджалысь выключательсӧ вежисны ӧнія элегазӧвӧй вылӧ.,На центре питания 110 кВ «Визинга» в Сысольском районе заменили масляный выключатель на современный элегазовый.
95,Сійӧс колӧ куим пӧв этшаджык уджӧдны.,Требующий в три раза меньше обслуживания.
96,Тайӧ бурмӧдіс регионса лунвылын 243 олан пунктса 50 сюрс олысьӧс электричествоӧн могмӧдӧмсӧ.,Работы обеспечили дополнительную надёжность электроснабжения 50 тысяч жителей 243 населённых пунктов юга региона.
97,Удора районын компания дзоньталіс 40 км кузьта 10 кВ сынӧдса линия.,В Удорском районе компания реконструировала 40 км воздушной линии 10 кВ.
98,«Коми коммунальнӧй технологияяс» акционер котыр 2020 воӧ збыльмӧдіс электроэнергия сетан юкӧнын 45 проект.,АО «Коми коммунальные технологии» реализовало в 2020 году 45 проектов в сфере передачи электроэнергии.
99,2021 во заводитчӧмсянь 11 тӧлысь чӧжӧн «Коми коммунальнӧй технологияяс» збыльмӧдісны электроэнергия сетан юкӧнын 29 инвестиция проект.,За 11 месяцев с начала 2021 года «Коми коммунальные технологии» реализовали 29 инвестиционных проектов в сфере передачи электроэнергии.
100,"Стрӧитӧма 13 гӧгӧр километр кузьта электропередача линия да 0,616 МВА вынйӧра трансформаторнӧй подстанцияяс.","Построено порядка 13 километров линий электропередачи и трансформаторных подстанций мощностью 0,616 МВА."
101,Нӧшта куим проект кӧсйӧны сигӧртны во помӧдз.,Ещё три проекта планируется завершить к концу года.
102,«Т Плюс» публичнӧй акционер котырлӧн коми филиал збыльмӧдӧ электроэнергия артмӧдан юкӧнын «Воркутаса ТЭЦ» ичӧт кывкутана котырлысь инвестиция уджтас.,Коми филиал ПАО «Т Плюс» реализует инвестиционную программу ООО «Воркутинские ТЭЦ» в сфере производства электроэнергии.
103,2020 во чӧжӧн сійӧс пӧртӧма олӧмӧ 92 % вылӧ.,За 2020 год она исполнена на 92%.
104,Збыльмӧдӧма 429 млн шайт вылӧ 22 мероприятие.,Было реализовано 22 мероприятия на общую сумму 429 млн рублей.
105,Нӧшта кык мероприятие вуджӧдӧма 2021 во вылӧ.,Ещё два мероприятия по объективным причинам перенесены на 2021 год.
106,"Прогноз серти, 2021 вося инвестиция уджтассӧ лоӧ збыльмӧдӧма 100 % вылӧ.","По прогнозу, инвестпрограмма 2021 года будет выполнена на 100 %."
107,«Воркуталӧн энергетикаӧ инвестицияясыс оз кыскыны сьӧмсӧ Коми Республикаса потребительяслысь.,«Инвестиции в энергетику Воркуты не ложатся дополнительным финансовым бременем на потребителей Республики Коми.
108,"Найӧс пыртӧма ладмӧдны позяна донъяс лыдӧ, кутшӧмъясӧн вӧдитчӧны оптӧвӧй рынок вылын электроэнергия вузалӧм вылӧ, налысь ыдждасӧ сӧгласуйтӧма Федеральнӧй антимонопольнӧй службаӧн.","Они включены в регулируемые цены, применяемые для продажи электрической энергии на оптовом рынке, их величина согласована Федеральной антимонопольной службой."
109,"Быдвося сьӧмӧн могмӧдан йӧрышсӧ урчитӧма федеральнӧй тшупӧдын 2018 воӧ да ӧні сійӧ оз сод», - тӧдчӧдіс Коми Республикаса Юралысь.","Ежегодный объём финансирования закреплён на определённом фиксированном уровне в 2018 году и по настоящее время не увеличивался», - подчеркнул глава Коми."
110,Збыльвылас инвестицияыс унджык.,Фактический же объем инвестиций выше.
111,"Т Плюслӧн мыччӧдъяс серти, сійӧ лоӧ 2,32 миллиард шайт.","По данным Т Плюс, он составит 2,32 миллиарда."
112,Естественнӧй монополияясса субъектъяслӧн уджалӧм серти Коми Республикаса Юралысь бердын Ньӧбысьяслӧн отраслькостса сӧветлӧн мӧд заседаниеыс лоас ӧшым тӧлысьлӧн мӧд джынйын.,Следующее заседание Межотраслевого совета потребителей при Главе Республики Коми по вопросам деятельности субъектов естественных монополий планируется провести во второй половине декабря.
113,"Во помын видлаласны шоныд сетан, ваӧн могмӧдан да ва нуӧдан юкӧнын инвестиция уджтасъяс збыльмӧдан кывкӧртӧдъяссӧ.","В конце года будут рассмотрены итоги реализации инвестиционных программ в сфере теплоснабжения, водоснабжения и водоотведения."
