,0,1,2,3
11,"Коризыс бур, лӧсялӧ посньӧдлӧм излӧн 400-600 маркалы, унджыкыс – 600 марка.",Качество известняков на всех участках высокое и отвечает маркам щебня 400-600 с преобладанием 600.,,
12,"«СМУЗ» котыр Бельгоп-1 куйлӧдын вӧчӧ нин кӧтӧдтӧм, кӧтӧдӧм да гидравлическӧй кориз.","ООО «УЗСМ» уже использует известняки месторождения Бельгоп-1 и специализируется на производстве негашеной, гашеной и гидравлической извести.",,
13,"Водзӧ вылӧ кӧсйӧны вуджны и мукӧд участок вылӧ, содтыны вӧчаслысь ыдждасӧ да бурмӧдны качествосӧ, чинтыны асдонсӧ.","В планах – освоить другие участки, тем самым увеличить объём выпуска продукции, улучшить и стабилизир",,
14,Коризлӧн ногтуйыс кутас лӧсявны ИФ-0 стандартлы.,Качество выпускаемой извести будет соответствовать требованиям стандарта извести ИФ-0.,,
15,"Татшӧм коризыс колӧ металлургия да химия отрасльяслы, и талун Россияын татшӧм коризсӧ некод оз вӧч.",Востребованной потребителями металлургической и химической отраслей и на сегодняшний день не производимой в Российской Федерации.,,
16,2020 вося ода-кора тӧлысь 13 лунӧ кырымалӧма Коми Республикаса Веськӧдлан котыр да «Стрӧитчан материалъяс вӧчан Ухтаса завод» ичӧт кывкутана котыр костын уджъёртасьӧм йылысь артмӧдчӧм.,"13 мая 2020 года подписано соглашение о сотрудничестве между Правительством Республики Коми и ООО «УЗСМ», направленное на реализацию данного инвестпроекта.",,
17,Сійӧс веськӧдӧма инвестиция проектсӧ олӧмӧ пӧртӧм вылӧ.,Он рассчитан на несколько лет и разбит на пять основных этапов.,,
18,Уджыс кутас мунны некымын во да юкӧма вит медшӧр юкӧн вылӧ.,Первый предполагает реконструкцию участка по производству извести.,,
19,Медводз кутасны выльмӧдны кориз вӧчан участоксӧ да стрӧитны F2S сикаса кориз донӧдан кык шахтаа пач.,Строительство одной двухшахтной печи для обжига извести типа F2S.,,
20,Суткинас сійӧ кутас вӧчны 350-400 тонна природнӧй биару сотан системаӧн.,Производительностью 350 – 400 т/сут. с системой сжигания природного газа.,,
21,Бӧръянас кутасны стрӧитны кос ногӧн цемент вӧчан завод.,Финальный этап – строительство завода по производству цемента.,,
22,Сылӧн вынйӧрыс лоӧ вонас 1 млн. тонна.,Сухим способом мощностью 1 млн тонн/г.,,
23,Проектыс вермас сетны удж 1200 мортлы.,Реализация проекта позволит создать до 1200 рабочих мест.,,
24,"«Проектыс социальнӧй да экономика боксянь ыджыд тӧдчанлуна Ухта карлы да ставнас республикалы, – донъяліс регионса веськӧдлысь Владимир Уйба.","«Проект имеет экономическую и социальную значимость для Ухты и Республики Коми в целом, - дал оценку врио Главы Республики Коми Владимир Уйба.",,
25,– Республикалы колӧны татшӧм промышленнӧй производство сӧвмӧдан инновация проектъяс.,"– Республика нуждается в таких инновационных проектах, обеспечивающих рост промышленного производства.",,
26,"Республика вермас вӧчны продукция, коді колӧ оз сӧмын республикаын да странаын, но и кутас мунны экспорт вылӧ».","Реализация этого проекта позволит наладить выпуск конкурентоспособной продукции, востребованной не только в республике и в стране, но идущей на экспорт».",,
27,Коми язык,Русский язык,,
28,"Владимир Уйба видзӧдліс, кыдзи стрӧитӧны Сыктывдінса Выльгорт сиктын 270 места вылӧ челядьӧс видзанін ",Владимир Уйба проинспектировал ход строительства детского сада на 270 мест в селе Выльгорт Сыктывдинского района ,,
29,3 арӧсӧдз челядьӧс школаӧдз тӧдӧмлун босьтны позянлунӧн могмӧдӧм – тайӧ Россияса Президент Владимир Путинӧн пуктӧм мог.,Поставленных Президентом России Владимиром Путиным по обеспечению 100-процентной доступности дошкольного образования для детей в возрасте до 3 лет.,,
30,Тайӧ могсӧ олӧмӧ пӧртӧм могысь Выльгортын лэптӧны кык судтаа кирпич стрӧйба.,Строительство двухэтажного кирпичного здания ведётся в рамках исполнения задач,,
31,Объектсӧ пыртӧма Коми Республикаса 2019 во да 2020 да 2021 воясся планӧвӧй кадколаст вылӧ адреснӧй инвестиция уджтасӧ.,Объект включён в адресную инвестиционную программу Республики Коми на 2019 год и плановый период 2020 и 2021 годов.,,
32,Смета серти доныс – 253 миллионысь унджык шайт.,Сметная стоимость – более 253 миллионов рублей.,,
33,"Тайӧ федеральнӧй, республиканскӧй да меставывса сьӧмкудъясысь сьӧм.","Это средства федерального, республиканского и местного бюджетов.",,
34,Стрӧитчан да монтаж уджъяссӧ вӧчӧ «Альфа-Строй» ичӧт кывкутана котыр.,Строительно-монтажные работы выполняет ООО «Альфа-Строй».,,
35,Сійӧ заводитіс уджсӧ 2019 вося нёльӧд кварталын.,К строительству подрядчик приступил в четвёртом квартале 2019 года.,,
36,Сёрнитчӧм серти уджсӧ колӧ помавны таво помӧдз.,В соответствии с договором объект должен быть сдан до конца года.,,
37,"Но ӧні тыдовтчис, мый уджыс мунӧ график торкалӧмӧн.",Сейчас работы ведутся с отставанием от графика.,,
38,"Стрӧйбасӧ кыпӧдӧма 90 прӧчент вылӧ, ортсы везъяс дасьӧсь 30 прӧчент вылӧ, пытшкӧсса везъяс – 15 прӧчент вылӧ.","Конструкция здания готова на 90 процентов, внешние сети – на 30 процентов, внутренние – на 15 процентов.",,
39,Кӧч тӧлысь помын воас модульнӧй биаруӧн ломтысьыс котельнӧй.,В конце сентября поступит модульная газовая котельная.,,
40,Объект вылын уджалӧ 44 морт.,На объекте работает 44 человека.,,
41,Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба тшӧктіс регионса Стрӧитчан министерстволы да Сыктывдін районса Администрациялы босьтны объектсӧ торъя контроль улӧ,Врио Главы Республики Коми Владимир Уйба поручил Минстрою республики и Администрации Сыктывдинского района держать объект на особом контроле.,,
42,Пӧдрадчикъяслы шуӧма содтыны уджалысьяслысь лыд да уджлысь ӧдсӧ.,Подрядной организации необходимо увеличить количество работников на стройплощадке и ускорить темпы работ.,,
43,Коми язык,Русский язык,,
44,Коми Республикаын Роспотребнадзорлӧн веськӧдланін йӧзӧдіс коронавирус серти официальнӧй юӧр ,Официальная информация Управления Роспотребнадзора по Республике Коми по ситуации с коронавирусом ,,
45,"Ставнас медицина боксянь видзӧдӧны 1914 морт бӧрся, на лыдын: 1883 морт контактируйтӧмаӧсь висьмӧм йӧзкӧд, 31-ыс воӧмаӧсь суйӧр сайысь.","Всего под медицинским наблюдением находится 1914 человек, из них 1883 контактировали с заболевшими, 31 прибыл из-за рубежа.",,
46,"Официальнӧя эскӧдісны, мый коронавирусысь некод эз кувсьы.",Новых случаев летального исхода у пациентов с коронавирусом не зарегистрировано.,,
47,Коми язык,Русский язык,,
48,"Воркутаса вӧвлӧм мэр, Россияса ӧтйӧза палатаӧ пырысь Игорь Шпекторкӧд прӧщайтчисны талун Санкт-Петербургын ","Церемония прощания с бывшим мэром Воркуты, членом Общественной палаты России Игорем Шпектором прошла сегодня в Санкт-Петербурге ",,
49,Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба да Коми Республикаса Веськӧдлан котыр нимсянь панихидаын участвуйтіс Коми Республикаса Веськӧдлан котырӧн Юрнуӧдысьӧс вежысь – сьӧм овмӧс министр Галина Рубцова.,От имени врио Главы республики Коми Владимира Уйба и Правительства региона в панихиде приняла участие заместитель Председателя Правительства Республики Коми – министр финансов Галина Рубцова.,,
50,«Сьӧкыд воштыны татшӧм йӧзсӧ.,«Тяжело терять таких людей.,,
51,"Игорь Леонидовичӧс бура тӧдісны эз сӧмын республикаын, но и Россияын.",Масштаб личности Игоря Леонидовича выходил далеко за пределы республики.,,
52,"Сійӧ дас воысь дырджык уджаліс Воркутаса мэрӧн, вӧзйис нуӧдны «Заполярные игры» Войвылын олысь йӧзлы спартакиада, дорйис войвывса йӧзлысь тӧждъяссӧ Россияса ӧтйӧза палатаын.","Более десяти лет он работал мэром Воркуты, был инициатором проведения спартакиады народов Севера «Заполярные игры», активно защищал интересы северян в Общественной палате России.",,
53,Сійӧ кужис корсьны петан туйяс зэв сьӧкыд могъяс олӧмӧ пӧртігӧн.,Он умел находить решения самых сложных задач.,,
54,И пыр вӧлі восьса йӧзлы.,Проявляя при этом открытость и неравнодушие к проблемам людей.,,
55,Пыр пыдди пуктіс Мортӧс.,Человечность – вот главная черта этой личности.,,
56,"Сылысь уджсӧ кутасны помнитны и Воркутаса, и Коми Республикаса олысьяс, - пасйис Галина Рубцова.","Его работу всегда будут помнить воркутинцы и все жители Республики Коми», - отметила Галина Рубцова.",,
57,Игорь Шпектор кувсис кӧч тӧлысь 5 лунӧ.,Игорь Шпектор скончался 5 сентября.,,
58,Аслас 82 арӧсӧдз эз ов сӧмын тӧлысь.,Не дожив всего месяц до своего 82-летия.,,
59,Коми язык,Русский язык,,
60,Сыктывкарын воссис челядьлы да том войтырлы уна мога шӧрин ,В Сыктывкаре открылся многофункциональный центр для детей и молодежи ,,
61,Шӧрин кыпыда воссис кӧч тӧлысь 10 лунӧ.,"В торжественной церемонии, которая состоялась 10 сентября.",,
62,Воліс сэтчӧ Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба.,Принял участие временно исполняющий обязанности Главы Республики Коми Владимир Уйба.,,
63,"«Шӧриныс ӧнія кадлы лӧсялана, тані выль оборудованньӧ, выль техника, – пасйис В. Уйба.","«Центр современный, с новым оборудованием и техникой. Но важен подход, - отметил В. Уйба.",,
64,"Тані быдтӧны оз сӧмын чемпионъясӧс да вермысьясӧс, тані быдтӧны прамӧй йӧзӧс.","Здесь не просто растят чемпионов, победителей, здесь воспитывают настоящих людей.",,
65,"Тайӧ тӧдчӧ велӧдысьяслӧн, мукӧд специалистъяслӧн уджын.","Это чувствуется в отношении педагогов, в отношении специалистов.",,
66,"Найӧ радейтӧны быдтасъяснысӧ, сетӧны налы став олӧмнысӧ.","Людей, которые относятся к детям с любовью, посвящают им свою жизнь.",,
67,Тайӧ шӧринас быдтӧны великӧй страналысь гражданинъясӧс».,"Это центр, где формируются граждане нашей великой страны».",,
68,"Регионӧн веськӧдлысьлы петкӧдлісны выль жыръяс да залъяс, висьталісны клубъяс да организацияяс йылысь, кутшӧмъяс кутасны уджавны шӧринын.","Врио Главы Республики Коми показали новые помещения и залы, рассказали о клубах и организациях, которые будут работать в новом центре.",,
69,Уна мога шӧрин – челядьлы содтӧд тӧдӧмлун сетан учреждение.,Многофункциональный центр – учреждение дополнительного образования для детей.,,
70,"Тані лоӧ позянлун пырӧдчыны турист да чужан му туялӧм нырвизьӧ, патриотическӧй, физкультура да спорт нырвизьӧ.","Занимающихся по программам туристко-краеведческой, патриотической, физкультурно-спортивной направленности.",,
71,Сідзжӧ тані лоӧ позянлун нуӧдны челядьлы да том войтырлы уна сикас мероприяттьӧ.,А также пространство для проведения детских и молодежных мероприятий.,,
72,Шӧрин кутас котыртны республикаса челядьлысь шойччӧм да дзоньвидзалун видзӧм.,Центр станет организатором отдыха и оздоровления детей республики.,,
73,"2020 воӧдз челядьлӧн да том войтырлӧн республикаса шӧринлысь занятиеяс, ордйысьӧмъяс, семинаръяс, велӧдчан-тренируйтчан сборъяс ковмыліс нуӧдны республикаса велӧдчан да спорт организацияясын.","До 2020 года занятия, соревнования, семинары и учебно-тренировочные сборы, организованные республиканским центром детей и молодежи, проходили на базе образовательных и спортивных организаций республики.",,
74,Колісны ас жыръяс.,Необходимы были собственные помещения.,,
75,Выль уна мога шӧрин – дыр виччысяна велӧдчанін.,"Новый многофункциональный центр – это долгожданная образовательная территория, оснащенная современным оборудованием.",,
76,Катаев улича вылын стрӧйбаын челядьлы сетӧма кык судта.,Детям отданы два этажа здания по улице Катаева.,,
77,"Медводдза судтаас туризм, карта да компас серти корсьӧм, чужан му туялӧм серти занятиеяс нуӧдӧм вылӧ жыръяс, челядьлы да том йӧзлы туризм история музей.","Один этаж занимают кабинеты для проведения занятий по туризму, спортивному ориентированию, краеведению, музей истории детско-юношеского туризма.",,
78,Тані жӧ воссис Юнармия керка.,Также здесь открылся дом Юнармии.,,
79,"Мӧд судтаас – ӧнія скалодрома спорт зал, актӧвӧй да тренируйтчан зал.","На другом этаже расположены спортивный зал с современным скалодромом, актовый и тренажерный залы.",,
80,Шӧринӧ кутасны волыны 700 кымын ныв-зон.,В Центре будут заниматься около 700 ребят.,,
81,Тані кутасны нуӧдны республикаса челядьлы тӧдчана мероприяттьӧ.,Будут проводиться общественно-значимые мероприятия для детей республики.,,
82,Владимир Уйбалы петкӧдлісны и кӧч тӧлысь медводдза лунӧ восьтӧм Сыктывкарса 40 номера торъя коррекционнӧй школаса начальнӧй классъяслы корпус.,Также Владимиру Уйба показали открытый первого сентября корпус для начальных классов специальной коррекционной школы № 40 города Сыктывкар.,,
83,Сійӧ сідз жӧ Катаев уличвывса стрӧйбалӧн медводдза судтаын.,Корпус располагается на первом этаже здания по улице Катаева.,,
84,"Велӧдан кабинетъяс кындзи тані эм музыкальнӧй класс, логопедлӧн, педагог-психологлӧн, дефектологлӧн жыръяс да медицинскӧй кабинет.","Кроме учебных кабинетов, здесь есть музыкальный класс, кабинеты логопеда, педагога-психолога, дефектолога и медицинский кабинет.",,
85,Коми язык,Русский язык,,
86,Владимир Уйба нуӧдіс Республиканскӧй стадион выльмӧдӧм серти оперативнӧй сӧвещание ,Владимир Уйба провёл оперативное совещание по вопросам реконструкции Республиканского стадиона ,,
87,Сӧвещаниеыс вӧлі кӧч тӧлысь 10 лунӧ спорт объектын.,Совещание состоялось 10 сентября на территории спортивного объекта.,,
88,Буретш тані 2021 воын лоас мужичӧй командаяс пӧвстын Мача хоккейысь мирса чемпионат.,Который после реконструкции примет Чемпионат мира по хоккею с мячом среди мужских команд 2021 года.,,
89,Стадионсӧ заводитісны выльмӧдны колян вося ӧшым тӧлысьӧ.,Реконструкция началась в декабре прошлого года.,,
90,Уджалӧны Сербияса стрӧитчысьяс.,Работы выполняет строительная компания из Сербии.,,
91,"Тыдовтчис, мый уджыс мунӧ ньӧжйӧджык урчитӧм серти.",В настоящее время есть отставание от плана-графика работ.,,
92,"Сӧвещание дырйи Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба, стрӧитчан да туй овмӧс министр Андрей Некрасов да пӧдрада организацияса веськӧдлысьяс аддзисны стадион выльмӧдан удж ӧддзӧдан ног.","В ходе совещания врио Главы Республики Коми Владимир Уйба, министр строительства и дорожного хозяйства Андрей Некрасов и руководители подрядных организаций выработали совместные решения по ускорению темпов работ по реконструкции объекта.",,
93,"«Ёртъяс, ме ог кӧсйы кывзыны сьӧкыдлунъяс вылӧ некутшӧм ыстысьӧм.","«Коллеги, я не принимаю никаких отговорок.",,
94,"Нинӧм вылӧ видзӧдтӧг уджъяссӧ колӧ нуӧдны водзӧ, – тӧдчӧдіс Владимир Уйба.","Несмотря ни на что работы должны продолжаться, - подчеркнул Владимир Уйба.",,
95,"– Ті верстьӧ йӧз, тӧданныд, кутшӧм климат зонаын ми олам да уджалам.","– Вы не маленькие дети: когда брались за работу, понимали, в каких климатических условиях мы живём и работаем.",,
96,"Гожӧм помасис, ставсӧ шымыртана шондӧдӧм оз ло, ковид некытчӧ оз вош.","Лето закончилось, глобального потепления не будет, ковид как был, никуда не денется.",,
97,Сы вӧсна миян ковмас корсьны петан туй татшӧм оласногын.,"Поэтому надо принимать меры исходя из той действительности, в которой мы находимся.",,
98,"Ми босьтім нин содтӧд уджалысьясӧс, но тыдовтчис, мый йӧзыс бара на этша.","С момента нашей прошлой встречи вы увеличили количество работников, но этого недостаточно.",,
99,"Сідзкӧ, колӧ босьтны нӧшта уджалысьясӧс, медым кӧдздӧдтӧдз став уличвывса уджсӧ эштӧдны».","Надо больше людей, чтобы до наступления холодов завершить все наружные работы».",,
100,Объект вылын уджалӧ 450 морт.,На объекте задействовано 450 человек.,,
101,Вӧчӧма шӧр стрӧитчан да монтажнӧй уджъяс.,Уже выполнены основные строительно-монтажные работы на полях и трибунах стадиона.,,
102,"Монтируйтӧма 6 югзьӧдан мачта, колӧ монтируйтны нӧшта кыкӧс.",Завершен монтаж 6 из 8 запланированных мачт освещения.,,
103,"Ӧні шӧр да запаснӧй полеяс вылын вӧчӧны йивыв ареналы кӧдздӧдан система, лӧсьӧдӧны трибунаа жыръяслысь пытшкӧссӧ, ывла вылын садитӧны пуяс да кустъяс.","В данный момент ведутся работы по устройству холодоснабжения ледовой арены на основном и запасном полях стадиона, внутренняя отделка трибунных помещений, озеленение территории.",,
104,"График серти уджӧ пырӧм могысь вуджисны кык сменаа удж вылӧ, отсӧг вылӧ корӧны карса олысьясӧс.","Для ликвидации отставания силами подрядной организации обеспечивается перевод привлеченной рабочей силы на двухсменный режим рабочего времени, организована работа по привлечению дополнительной рабочей силы из числа местных жителей.",,
105,Выльмӧдӧм бӧрас Сыктывкарын лоас ӧнія кадлы лӧсялана спорт объект.,После реконструкции Сыктывкар получит современный спортивный объект.,,
106,"Сэні лоӧ йивыв арена, котралан туйяс, стритбол да воркаут вылӧ площадкаяс, ворсан площадкаяс, тренируйтчан зал да легкоатлетическӧй манеж.","С ледовой ареной, беговыми дорожками, площадками для стритбола и воркаута, игровыми площадками, тренажерным залом и легкоатлетическим манежем.",,
107,Трибуна вылӧ тӧрас 8600-ысь унджык морт.,Общая вместимость трибун – более 8600 человек.,,
108,"5 пыранінӧ сувтӧдасны металлоискательяс, рентгенотелевизионнӧй установка, взрывчатӧй вещество ру тӧдмалӧм вылӧ газоанализаторъяс, объект вылын лоас 290 видеокамера.","5 входов будут оборудованы металлоискателями, рентгенотелевизионной установкой, газоанализаторами паров взрывчатых веществ, на объекты будет установлено 290 камер видеонаблюдения.",,
109,*** Республиканскӧй стадион выльмӧдсьӧ Коми Республикаын 2021 вося Мача хоккейысь мирса чемпионат кежлӧ.,*** Реконструкция Республиканского стадиона ведется в рамках подготовки к проведению в Республике Коми чемпионата мира по хоккею с мячом в 2021 году.,,
110,"Проект серти кӧсйӧны лӧсьӧдны видзӧдысьяслы навесъяс, спорт арена, а сідзжӧ сувтӧдны выль югзьӧдан мачтаяс, звукӧвӧй оборудование да юӧртан медиа-табло.","Проектом реконструкции предусмотрены устройство навесов над местами для зрителей, устройство спортивной арены, а также установка новых мачт освещения, звукового оборудования и информационного медиа-табло.",,
111,"Рытыввывса (шӧр) выль трибуналӧн медводдза судтаын кӧсйӧны меститны волысьяслы пыран зона, суддяяслы да спортсменъяслы пӧрччысянінъяс, содтӧд могъяс вылӧ жыръяс.","На первом этаже новой западной (центральной) трибуны планируется разместить входную зону для посетителей, раздевалки для судей и спортсменов, помещения вспомогательного назначения.",,
112,"Мӧд судтаын лоас нёль котралан туя выль легкоатлетическӧй манеж, баскетбольнӧй площадка да тренируйтчан залъяс, а сідзжӧ спортсменъяслы да болельщикъяслы кафе.","На втором этаже появится новый легкоатлетический манеж с четырьмя беговыми дорожками, баскетбольная площадка и тренажерные залы, а также кафе для спортсменов и болельщиков.",,
113,"Вылыс судтаясын лоасны конференц-зал, сӧвещаниеяс нуӧдан залъяс, прессалы зона, комментаторъяслы кабинаяс да техническӧй персоналлы жыръяс.","На верхних этажах здания разместятся конференц-зал, залы совещаний, зона для прессы, комментаторские кабины и комнаты для технического персонала.",,
114,Кутасны выльмӧдны и стадионлысь запаснӧй полесӧ.,Запланирована реконструкция и запасного поля стадиона.,,
115,"Сэні лоас кытшӧн да веськыда котралан туйяса выль спортивнӧй ядро, мача хоккейысь либӧ футболысь ворсан полеяс, быд сикас ворсӧм вылӧ площадка.","На нем появится новое спортивное ядро с круговой и прямой беговыми дорожками, поле для игры в хоккей с мячом или футбол, универсальная игровая площадка.",,
116,"Стадионсӧ потшасны, югзьӧдасны, сувтӧдасны звукӧвӧй да юӧртан оборудование, а сідзжӧ запаснӧй полеын кыпӧдасны видзӧдысьяслы 499 места вылӧ выль трибуна.","Будет выполнено ограждение стадиона, установка освещения, звукового и информационного оборудования, а также на запасном поле будет построена новая зрительская трибуна на 499 мест.",,
117,Коми язык,Русский язык,,
118,Владимир Уйба удж серти аддзысьліс Россия Федерация промышленносьт да вузасян министрӧс вежысь Виктор Евтуховкӧд ,Владимир Уйба провёл рабочую встречу с замминистра промышленности и торговли Российской Федерации Виктором Евтуховым ,,
119,Аддзысьлӧмыс вӧлі кӧч тӧлысь 8 лунӧ статс-секретар – Россия Федерация промышленносьт да вузасян министрӧс вежысь Виктор Евтуховлӧн Сыктывкарӧ удж кузя волігӧн.,Встреча состоялась 8 сентября в рамках рабочей поездки статс-секретаря – заместителя Министра промышленности и торговли Российской Федерации Виктора Евтухова в Сыктывкар.,,
120,"Сёрнитісны промышленносьт сӧвмӧдӧм, индустриальнӧй пу стрӧйбаяс кыпӧдӧм да пеллетъяс вӧчӧм йылысь.","Обсуждены вопросы развития промышленности, индустриального деревянного домостроения и пеллетного производства.",,
121,Та бӧрын Владимир Уйба да Виктор Евтухов видзӧдлісны “Комитекс” акционер котыр.,После встречи Владимир Уйба и Виктор Евтухов посетили АО «Комитекс».,,
122,Тайӧ котырыс кытӧм материалъяс да синтетическӧй волокно вӧчӧм серти Россияын медводдзаяс лыдын.,Одно из ведущих предприятий России по производству нетканых материалов и синтетического волокна.,,
123,Фабрика вӧчӧ 50 кымын сикас продукция промышленносьтлӧн быдсикас юкӧнлы.,Фабрика сегодня производит порядка 50 видов продукции для нужд различных отраслей промышленности.,,
124,Сійӧ вӧдитчӧ уна кытӧм материал “кос ногӧн” вӧчан технологияясӧн.,Обладает большинством известных в настоящее время в мире технологий производства нетканых материалов «сухим способом».,,
125,"Предприятие перерабатывайтӧ вторичнӧй сырьё, пӧртӧ олӧмӧ выль инвестиция проектъяс, выльмӧдӧ оборудование, и та вӧсна вермӧ лэдзны унджык да бур качествоа продукция.","Предприятие перерабатывает вторичное сырье, реализует новые инвестиционные проекты и осуществляет постоянную модернизацию оборудован",,
126,Виктор Евтухов висьталіс канмусянь отсӧг сетан мераяс йылысь.,Виктор Евтухов рассказал о действующих мерах государственной поддержки.,,
127,"Гӧгӧрвоӧдіс, кыдзи федеральнӧй сьӧм тшӧт весьтӧ босьтны лизинг кредит производство выльмӧдӧм вылӧ.","В частности, замминистра промышленности и торговли России пояснил, как за счет федеральных средств получить лизинговый кредит на обновление производственных линий.",,
128,Владимир Уйба да Виктор Евтухов сідзжӧ нуӧдісны Коми Республикаын вӧр лэдзан юкӧнын медтӧдчана инвестиция проектъяс серти сӧвещание.,Также Владимир Уйба и Виктор Евтухов провели совещание по вопросам реализации приоритетных инвестиционных проектов в области освоения лесов на территории Республики Коми.,,
129,"Министрӧс вежысь пасйис, мый Коми Республикаын вӧр промышленносьт комплекс сӧвмӧдӧм вермас вайӧдны республикаӧ инвесторъясӧс.","Министр отметил, что с точки зрения возможностей развития лесопромышленного комплекса Республика Коми – привлекательный регион для инвесторов.",,
130,Тані эм нин вӧр переработайтан кык ыджыд предприятие – “Монди Сыктывкарскӧй ЛПК” акционер котыр да “Лузалес” ичӧт кывкутана котыр.,"Здесь есть якорные предприятия лесопереработки, такие как АО «Монди Сыктывкарский ЛПК» и ООО «Лузалес».",,
131,“Вӧр переработайтӧмын медтӧдчана инвестиция проектъяс республикаын пӧртсьӧны олӧмӧ зэв бура.,«Приоритетные инвестиционные проекты по лесопереработке в республике реализуются весьма успешно.,,
132,"Асшӧр уджалысьяс асьныс бӧрйӧны кодарӧ сетчыны, – пасйис Виктор Евтухов.","Предприниматели сами определяют, в какую сторону им двигаться, - сказал Виктор Евтухов.",,
133,– Тіян сӧвмӧ пеллет вӧчӧм.,-  У вас развивается пеллетное производство.,,
134,Тайӧ аскиа лун.,Это очень перспективно.,,
135,"Но и талун нин ми сёрнитам сы йылысь, медым ломтыны пеллетӧн котельнӧйяс сэні, кӧні абу газ.","Сегодня мы говорим о переводе на это экологичное топливо котельных там, где нет газа.",,
136,Тайӧ тӧварыс бура мунӧ экспорт вылӧ .,Это очень востребованный экспортный товар.,,
137,"Та вӧсна ми пыртім пеллетъяссӧ продукция лыддьӧгӧ, кутшӧмӧс сьӧмӧн могмӧдӧны ортсыса рынокъяс вылӧ йӧзлы колана продукция нуны отсалан уджтас серти”.","Потому мы включили пеллеты в перечень продукции, которая субсидируется в рамках программы по поддержке транспортировки продукции гражданского назначения на внешние рынки».",,
138,"Владимир Уйба пасйис, мый республика ачыс вермас асьсӧ тырвыйӧ могмӧдны пеллетъясӧн.","Владимир Уйба отметил, что республика может полностью удовлетворить внутренний рынок пеллетами.",,
139,"Регионын эм сырьё да предприятиеяс, кодъяс вермасны содтыны ломтысян гранула вӧчан ӧд.","В регионе есть сырье и предприятия, которые могут наращивать производство топливных гранул.",,
140,"“Ми сёрнитім Виктор Леонидовичкӧд сійӧ проектъяс йылысь, кодъяс вермасны ыштӧдны инвесторъясӧс, – тӧдчӧдіс Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь.","«Мы обсудили с Виктором Леонидовичем ряд вопросов и проектов, которые свидетельствуют об инвестиционной привлекательности республики, - подчеркнул врио Главы Республики Коми.",,
141,"– Тайӧ абу сӧмын вӧр пӧрӧдӧм, но и вӧр переработайтӧм, колястӧм производство.","- Это не просто лесозаготовка, но и предприятия глубокой переработки древесины, безотходные производства.",,
142,"И, дерт, медтӧдчанаыс – социальнӧй проектъяс олӧмӧ пӧртӧм.","Ну, и, что особенно важно, это реализация социальных проектов.",,
143,"Шуам, “Лузалес” кӧсйӧ восьтыны Сыктывкарын ӧнія кадлы лӧсялана уна мога медицина шӧрин”.","В частности, мы посетили компанию «Лузалес», которая планирует открыть в Сыктывкаре современный многофункциональный медицинский центр».",,
144,Коми язык,Русский язык,,
