,0,1
11,"Ладмӧдӧма ведомствокостса йитӧд кар кытшъясса, муниципальнӧй районъясса, сикт овмӧдчӧминъясса администрацияяскӧд, районъясса «Йӧзӧс социальнӧя доръян шӧрин» Коми Республикаса канму сьӧмкуд учреждениеяскӧд сійӧ юкӧнын, медым сетны ёнджыкасӧ 60 арӧса да арлыдаджык йӧзӧс вакцинируйтан пунктъясӧ вайӧдӧм вылӧ автотранспорт.","Налажено межведомственное взаимодействие с администрациями городских округов, муниципальных районов, сельских поселений, ГБУ РК «Центр социальной защиты населения» районов в части предоставления автотранспорта для организации перевозки преимущественно граждан старше 60 лет в пункты вакцинации."
12,Мунӧ удж предприятиеясса уджалысьясӧс уджалан места вылын вакцинируйтӧм серти.,Активно осуществляется выездная работа на предприятия с целью вакцинации сотрудников предприятий на рабочих местах.
13,"Лӧсьӧдӧма вакцинация вӧчан содтӧд пунктъяс уджӧн могмӧдан шӧринъясын (Инта кар да Визин сикт), УМШ филиалъясын, Республикаса врачебно-физкультурнӧй диспансерын, «Коми Республикаса канму аптекаяс» учреждениеын, республикаса стадионлӧн зданиеын.","При возросшем спросе организованы дополнительные пункты вакцинации на базе центров занятости (г. Инта и с. Визинга), филиалов МФЦ, «Республиканского врачебно-физкультурного диспансера», ГУП «Государственные аптеки Республики Коми», в здании республиканского стадиона."
14,Котыртӧма вакцинируйтан мобильнӧй пункт Сыктывкарса кӧрт туй вокзалын.,Организован передвижной мобильный пункт вакцинации на железнодорожном вокзале города Сыктывкара.
15,"Ставнас прививка вӧчан пунктъясын уджалӧ 126 врач да 341 шӧр медицина уджалысь, на лыдын 2021 вося сора тӧлысь 14 лун вылӧ прививка вӧчан пунктъясын уджалӧны Сыктывкарса канму университет помалысьяс – 6 специалист участковӧй врач-терапевт чинын, 21 студент шӧр медицина уджалысь чинын.","Всего на прививочных пунктах работает 126 врачей и 341 средних медицинских работников, из них на 14 июля 2021 года дополнительно привлечено на прививочные пункты выпускников Сыктывкарского государственного университета – 6 специалистов на должности врач-терапевт участковый и 21 студент на должности средних медицинских работников."
16,Сідзжӧ республикаса мукӧд поликлиникалӧн юкӧдулӧ да стационарӧ студентъяс пиысь удж вылӧ корӧма 5 врачӧс да 25 шӧр медицина уджалысьӧс.,Также для трудоустройства в иные подразделения поликлиники и стационары республики привлечено 5 врачей и 25 средних медицинских работника из числа студентов.
17,Коми язык,Русский язык
18,Кулӧмдін районын дзоньталасны Виль ю вомӧн пос ,В Усть-Куломском районе отремонтируют мост через реку Виль 
19,Ӧні «УправтодорКоми» Коми Республикаса канму казённӧй учреждениеын уджалысьяс комиссионнӧя видлалӧны стрӧйбалысь техническӧй состояниесӧ.,Сейчас специалистами ГКУ РК «УправтодорКоми» проводится комиссионное обследование технического состояния сооружения.
20,Сы бӧрын урчитасны дзоньталан уджъяслысь донсӧ.,По его результатам будет определена стоимость ремонтных работ.
21,"Та йылысь муніс сёрниыс талун, сора тӧлысь 12 лунӧ, регионса Веськӧдлан котырлӧн быдвежонся оперативнӧй сӧвещание вылын, кодӧс нуӧдіс Коми Республикаса Юралысь Владимир Уйба.","Этот вопрос был рассмотрен сегодня, 12 июля, на еженедельном оперативном совещании регионального Правительства."
22,Лӧгинъяг – Керчомъя туйті Виль ю вомӧн поскыс аварийнӧй.,Которое провёл Глава Республики Коми Владимир Уйба.
23,Та вӧсна тупкӧма Кулӧмдін – Керчомъя – Зимстан – Дзоль республика тшупӧда автомашина туйлысь 55-56 километр кузьта юкӧн.,В связи с аварийным состоянием моста через р. Виль по направлению Логинъяг – Керчомъя закрыт проезд на 55–56 км автодороги республиканского значения Усть-Кулом – Керчомья – Зимстан – Дзёль.
24,"Татчӧс олысьяслы ковмӧ вӧдитчыны «Монди СЛПК» акционер котырлӧн ведомствоса туйӧн, но сэті эз кут позьны ветлӧдлыны легкӧвӧй автотранспортӧн.","Местные жители вынуждены пользоваться ведомственной дорогой АО «Монди СЛПК», которая стала непригодной для проезда легкового автотранспорта."
25,"Медым бӧр восьтыны тупкӧм участок вылын ветлӧдлӧмсӧ, колӧ крепитны поссӧ.","Чтобы возобновить движение на закрытом участке, необходимо укрепить мостовое сооружение."
26,"Водзвыв артыштӧм серти, сметнӧй документацияыс лоӧ дась вежон мысти.",Предварительно сметная документация будет готова через неделю.
27,"Ковмасны кӧ содтӧд инженернӧй видзӧдлӧмъяс, кадыс сы вылӧ вермас ковмыны неуна унджык.","В случае, если потребуется дополнительные инженерные изыскания, на её подготовку может понадобиться немного больше времени."
28,Пос дзоньталӧм вылӧ сьӧмсӧ урчитӧма нин.,Средства на ремонт моста зарезервированы.
29,Коми Республикаса Веськӧдлан котырлӧн эм сёрнитчӧм «Монди СЛПК» акционер котыркӧд.,Правительством Республики Коми налажено взаимодействие с АО «Монди СЛПК».
30,Компания дась отсавны тайӧ мытшӧдсӧ разигӧн.,Компания готова оказать содействие в решении данного вопроса.
31,"Сідзжӧ сёрнитчӧма сы йылысь, мый предприятие кадколаст кежлӧ дугӧдлас тайӧ туйті вӧр кыскалан машинаяслысь ветлӧмсӧ.","Также достигнута договорённость о том, что предприятие временно приостановит движение лесовозов по этому направлению."
32,"Казьтыштам, мый Коми Республикаса Юралысь Владимир Уйба тшӧктіс Веськӧдлан котырлы видзӧдлыны, кыдзи позьӧ 2022 восянь тулыс-гожӧмын да арын дугӧдны вӧр нуӧм автомашина туйясӧд, медым видзны Коми Республикаса муйӧж автомашина туйяс.","Напомним, Глава Республики Коми Владимир Уйба поручил Правительству региона решить вопрос табуирования лесных перевозок автодорожным сообщением с 2022 года в весенне-летний и осенний период с целью сохранения грунтовых автомобильных дорог в Республике Коми."
33,"Вӧр лэдзысьяслы лоӧ вӧзйӧма вӧдитчыны сырьё нуигӧн мукӧд ваян-нуан ногӧн, шуам, юясӧд.","Для транспортировки древесины лесозаготовителям будет рекомендовано использовать альтернативные формы транспортировки сырья, например, речной сплав."
34,Коми язык,Русский язык
35,Коми Республикаса вӧръясын пӧжарнӧй опасносьтыс пыр на ыджыд ,В лесах Коми сохраняется высокая пожароопасность 
36,Коми Республикаса пыдди пуктана олысьяс!,Уважаемые жители Республики Коми!
37,"Пӧжаръяс лоны вермана кад заводитчӧмсянь Коми Республикаын вӧлі 598,5 гектар вылын 65 вӧрса пӧжар.","С начала пожароопасного сезона на территории Республики Коми возникло 65 лесных пожаров на площади 598,5 гектаров."
38,Унджык пӧжарыс артмӧ меставывса олысьяс вӧсна.,Больше половины из них происходят по вине местного населения.
39,"Казьтыштам, лӧддза-номъя тӧлысь 24 лунсянь Коми Республикаын пыртӧма пӧжарысь видзчысян торъя режим.","Напоминаем, с 24 июня в Республике Коми введён особый противопожарный режим."
40,Ӧткымын районса вӧръясын вермӧны лоны ыджыд пӧжаръяс.,"А значит, риск возникновения природных пожаров остаётся очень высоким."
41,"Вӧрса пӧжаръяс вермасны вуджны олан пунктъяс вылӧ, экономика объектъяс да сад вӧдитан участокъяс вылӧ.","Также высок риск перехода природного пожара на населенные пункты, объекты экономики и садоводческие участки."
42,Пӧжарысь видзчысян торъя режим пыртӧмсянь вӧръясын ветлігӧн гражданалы колӧ:,"Введение особого противопожарного режима означает, что при пребывании в лесах граждане обязаны:"
43,"- кутчысьны вӧръясын пӧжарысь видзчысян, санитарнӧй боксянь видзчысян, вӧръяс бурмӧдан да вӧр бӧрся дӧзьӧритан правилӧясӧ;","- соблюдать правила пожарной безопасности, правила санитарной безопасности в лесах, правила лесовосстановления и правила ухода за лесами;"
44,"- вӧрса пӧжар аддзӧм бӧрын дзик пыр юӧртны вӧр овмӧсын уджалысьяслы, пӧжарнӧй охраналы, полициялы, канму власьт органъяслы либӧ меставывса асвеськӧдлан органъяслы;","- при обнаружении лесного пожара - немедленно уведомить о нем работников лесного хозяйства, пожарную охрану, полицию, органы государственной власти или органы местного самоуправления;"
45,- заводитны кусӧдны вӧрса пӧжар ас вынъясӧн вӧрса пӧжаръясысь видзан юкӧдувъяслӧн вотӧдз;,- принимать меры по тушению лесного пожара своими силами до прибытия специализированных лесопожарных подразделений;
46,- отсавны канму власьт органъяслы да меставывса асвеськӧдлан органъяслы вӧрса пӧжаръяс кусӧдігӧн.,- оказывать содействие органам государственной власти и органам местного самоуправления при тушении лесных пожаров.
47,Пӧжарысь видзчысян торъя режим дырйи республикаса став олан пунктын урчитӧма пӧжарысь видзчысян содтӧд корӧмъяс.,На период действия особого противопожарного режима во всех населённых пунктах республики установлены дополнительные требования пожарной безопасности.
48,"Оз позь ӧзтыны бипуръяс, сотны кос турун да мукӧд быдмӧг колясъяс, ёг, овмӧс да производственнӧй колясъяс, сотчысь тара да мукӧд сотчысь материал.","Введён запрет на разведение костров, сжигание сухой травы и других растительных остатков, мусора, бытовых и производственных отходов, горючей тары и других горючих материалов."
49,"Сідзжӧ оз позь нуӧдны пӧжарӧ вайӧдысь уджъяс олан пунктъясын да кар кытшъясын, дачаясын да град йӧръясын, видз-му овмӧс муяс да запасӧ пырысь муяс вылын.","Также запрещено проведение пожароопасных работ на территории поселений и городских округов, дачных участках и огородах, землях сельскохозяйственного назначения и землях запаса."
50,Оз позь вӧдитчыны ӧтувъя мутасъяс вылын мангалъясӧн да сёян дасьтӧм могысь мукӧд восьса биӧн.,Запрещено использование мангалов и иных приспособлений для тепловой обработки пищи с помощью открытого огня на территориях общего пользования.
51,"Помнитӧй, мый бикӧд йитчӧм быд видзчысьтӧмтор – шыбитӧм чигаркапом, тырвыйӧ кусӧдтӧм либӧ видзӧдтӧг кольӧм бипур, а сідзжӧ кос турун ӧзталӧм – вермас вайӧдны ыджыд неминучаӧдз.","Помните, любая неосторожность с огнем, будь то брошенный окурок, непотушенный полностью костер или костёр, оставленный без присмотра, а также пал сухой травы, может привести к катастрофическим последствиям."
52,"Таысь кындзи, Россия Федерацияса оланпастэчас серти вӧръясын пӧжарысь видзчысян правилӧяс торкалӧмысь эм административнӧй да уголовнӧй кывкутӧм.","Кроме того, в соответствии с законодательством Российской Федерации за нарушение правил пожарной безопасности в лесах предусмотрена административная и уголовная ответственность."
53,90 прӧчентысь унджык вӧрса да трундаса пӧжарыс артмӧ биӧн видзчысьтӧг вӧдитчӧм вӧсна.,Причиной более чем 90% лесных и торфяных пожаров является неосторожное обращение с огнем.
54,"Вӧрса быд пӧжар – ускӧттьӧ, сійӧ вайӧ ыджыд экономика убытка, вийӧ зэв уна звер-пӧтка, вайӧ вӧр-валы бергӧдны позьтӧм лёктор.","Каждый лесной пожар – стихийное бедствие, которое наносит огромный экономический ущерб, приводит к гибели большого количества зверей и птиц, наносит непоправимый урон природе."
55,"Энӧ прӧйдитӧй кусӧдтӧм бипуръяс дорті веськодя, энӧ кольӧ найӧс видзӧдтӧг!","Не проходите мимо незатушенных костров, не оставляйте их без присмотра!"
56,"Вӧрса пӧжаръяс аддзигӧн гражданалы колӧ быть заводитны кусӧдны пӧжарсӧ, а оз кӧ артмы кусӧдны ас вынъясӧн, юӧртны сы йылысь.","При обнаружении лесного пожара граждане обязаны немедленно принять меры по его тушению, а при невозможности потушить пожар своими силами – сообщить о нём."
57,"Оз кӧ артмы кусӧдны пӧжарсӧ ас вынъясӧн, колӧ юӧртны сы йылысь вӧр видзанінкӧд веськыд йитӧд вылӧ – 8-800-100-94-00 (мынтысьтӧм ӧтувъя номер, уджалӧ сутки чӧж), либӧ мездан службалӧн ӧтувъя номер вылӧ (112), кытчӧ колӧ юӧртны аддзӧм ӧзъянін йылысь.","При невозможности потушить пожар своими силами необходимо сообщить о нем на прямую линию лесной охраны – 8-800-100-94-00 (единый бесплатный номер, работает круглосуточно), либо по единому номеру службы спасения (112), куда нужно сообщить об обнаруженном очаге возгорания."
58,Коми язык,Русский язык
59,"Владимир Уйба чолӧмалӧ Коми Республикаса олысьясӧс Семьялы, радейтчӧмлы да веськыдлунлы сиӧм лунӧн ","Владимир Уйба поздравляет жителей Республики Коми с Днём семьи, любви и верности "
60,«Коми Республикаса пыдди пуктана олысьяс!,«Уважаемые жители Республики Коми!
61,"Чолӧмала тіянӧс Семьялы, радейтчӧмлы да веськыдлунлы сиӧм лунӧн!","Поздравляю вас с Днём семьи, любви и верности!"
62,"Тайӧ кыпыд да бур гажыс миян странаын пасйыссьӧ 2008 восянь, кодыр сійӧс вӧлі шуӧма Россияын Семьялӧн воӧн.","Этот замечательный добрый праздник в нашей стране отмечается с 2008 года, который был объявлен в России Годом семьи."
63,"Лунсӧ бӧрйӧма тӧдӧмӧн – сора тӧлысь 8 лунӧ православнӧйяс казьтылӧны Муромса вежа Петырӧс да Февронияӧс, кодъяслы медся донаӧн лоӧ семья, веськыдлун да муслун.","День был выбран не случайно – 8 июля православные чтят память святых Петра и Февронии Муромских, чей союз является примером семейных отношений, преданности и любви."
64,"Восьса сьӧлӧмӧн олӧм, веськыдлун, ӧта-мӧдсӧ гӧгӧрвоӧм да ӧта-мӧдлы отсалӧм – крепыд да ёрта семьялӧн подув.","Искренние чувства, верность, взаимопонимание и поддержка – основа крепкой и дружной семьи."
65,"Татшӧм семьяын челядь быдмӧны радлун пытшкын, пыдди пуктӧны арлыда йӧзӧс.","В такой семье дети живут в радости, старшее поколение – в уважении."
66,"Семья сетӧ вын, сетӧ позянлун аддзыны асьтӧ.","Семья даёт силы, возможность реализоваться."
67,"Тайӧ донатор, кутшӧмӧс оз вермы вежны кад, да сійӧ гӧгӧрвоана быд культураа, кывъя, эскӧмлуна йӧзлы.","Это ценность, кторую не способно изменить время, которая понятна представителю любой культуры, языка и веры."
68,Республикаса пыдди пуктана олысьяс!,Уважаемые жители республики!
69,"Видзӧй матыссаясныдтӧ, сьӧлӧмкылӧмъясныдтӧ, лоӧй шудаӧн дзик быд лун.","Берегите своих близких, цените чувства, будьте счастливы каждый день."
70,"Сиа став семьялы тыр-бура олӧм, кузь нэм да крепыд дзоньвидзалун!»","Желаю всем семьям мира, достатка, благополучия, долголетия и крепкого здоровья!»"
71,Коми Республикаса Юралысь В. В. Уйба,Глава Республики Коми В. В. Уйба
72,Коми язык,Русский язык
73,Владимир Уйба: Коми Республикаын бать-мамтӧм да бать-мам дӧзьӧртӧг кольӧм челядьӧс патераясӧн могмӧдан ногсӧ колӧ вежны ,"Владимир Уйба: решение квартирного вопроса в Республике Коми для сирот и детей, оставшихся без попечения родителей, подлежит пересмотру "
74,"Коми Республикаса Юралысь тшӧктіс регионса Веськӧдлан котырлы лӧсьӧдны выль механизмъяс, медым ӧддзӧдны патера сетӧмсӧ, кутшӧмъясӧс индӧм йӧзыс виччысьӧны воясӧн, а мукӧдыс – дасвоясӧн.","Глава Республики Коми поручил Правительству региона разработать новые механизмы для того, чтобы ускорить выделение жилья, которого многие представители этой категории ожидают годами, а некоторые – десятилетиями."
75,«Уна сюрс морт оз вермыны весиг ёрд пыр оперативнӧя босьтны оланінсӧ.,"«С учётом того, что тысячи наших жителей с данным статусом даже по суду не могут оперативно получить квартиры."
76,Колӧ шуны: муниципальнӧй тшупӧдын патераяс ньӧбан ӧнія системаыс абу окта.,Следует признать: действующая система закупа жилья на уровне муниципальных образований неэффективна.
77,Ӧткымын регионын власьт кутіс сетавны оланін босьтӧм вылӧ сертификатъяс.,В ряде регионов власти пошли по пути предоставления жилищных сертификатов.
78,"Миян татшӧм ногыс петкӧдліс ассьыс октасӧ олысьяслӧн мӧд категориякӧд уджалігӧн – Ылі Войвыв районъясысь мӧдлаӧ овны вуджысьяскӧд», - пасйис регионӧн веськӧдлысь.","У нас этот формат доказал эффективность для другой категории – переселенцев из районов Крайнего Севера», - отметил руководитель региона."
79,"Таысь кындзи регионӧн веськӧдлысь пуктіс министръяс кабинет водзын мог – лӧсьӧдны республика тшупӧдын нормативнӧй инӧда базаӧ пыртан вежсьӧмъяслысь бала сійӧ юкӧнас, кӧні сёрниыс мунӧ меставывса асвеськӧдлан органъяслӧн оланін стрӧитан рынокын участвуйтысьяскӧд ӧтув уджалӧм йылысь.",Помимо этого способа он поставил перед кабмином задачу проработать проект изменений нормативной правовой базы на уровне республики в части взаимодействия органов местного самоуправления с участниками рынка строительства жилой недвижимости.
80,"Сылӧн кывъяс серти, уна регионын чӧжӧма тайӧ ног серти бур опыт.","По его словам, опыт многих регионов в этом направлении наработан успешно."
81,"Сёрниыс мунӧ му участокъяс вичмӧдӧм серти меставывса власьтъяслӧн стрӧитчысьяскӧд артмӧдчӧмъяс йылысь, медым уна патераа выль керкаяс уджӧ пыртігӧн урчитӧм мында патера сетны администрацияяслы.",Речь идёт о соглашениях местных властей с застройщиками по выделению земельных участков в целях возведения многоквартирных домов на условии предоставления администрациям определённого числа квартир при сдаче новостроек в эксплуатацию.
82,"Тайӧ олан жыръяссӧ сэсся сетасны льготнӧй категория гражданалы, кодъяслӧн эм инӧд босьтны оланін канмусянь, на лыдын и бать-мамтӧм челядьлы.","В последующем жилые помещения предоставляются льготным категориям граждан, имеющим право на жильё от государства, в том числе, сиротам."
83,"«Комиын татшӧм выль нога уджалӧмыс сетас позянлун ӧддзӧдны оланін вылӧ ӧчередьлысь мунӧмсӧ, медым челядьлы керкаясысь петӧм том йӧзлы эз ковмы кӧртымавны йӧз оланін.","«Такие – новые для Коми – подходы позволят поставить на поток системное движение очереди, чтобы вступающая в самостоятельную жизнь после выпуска из детских домов молодёжь не была вынуждена снимать чужие жилплощади."
84,"Шуа нӧштаысь: медся тӧдчанаыс – отсавны миян кар-районъясын олысьяслы оланін серти мытшӧдъяссӧ разьӧмын», - кывкӧрталіс Владимир Уйба.","Повторю ещё раз: для нас в приоритете помощь жителям наших городов и районов в решении жилищного вопроса», - резюмировал Владимир Уйба."
85,Коми язык,Русский язык
86,Владимир Уйба вылӧ донъяліс «Сӧстӧм Арктика» ӧтйӧза-гражданскӧй водзмӧстчӧм ,Владимир Уйба высоко оценил общественно-гражданскую инициативу «Чистая Арктика» 
87,"Талун, сора тӧлысь 5 лунӧ, Россия Федерацияса ӧтйӧза палаталӧн площадка вылын Россия Федерацияса ӧтйӧза палаталӧн экология да гӧгӧртас видзан комиссия отсӧгӧн петкӧдлісны да видлалісны Арктика зона чӧжсьӧм няйтысь весалӧм вылӧ веськӧдӧм проект.","Сегодня, 5 июля, на площадке Общественной палаты Российской Федерации при поддержке Комиссии Общественной палаты Российской Федерации по экологии и охране окружающей среды состоялась презентация и обсуждение проекта, направленного на очистку уникальной арктической зоны от накопленного вреда."
88,Коми Республикаса Юралысь Владимир Уйба пырӧдчис мероприятиеӧ видеосвязь пыр.,Глава Республики Коми Владимир Уйба принял участие в мероприятии по видеосвязи.
89,«Ыджыд арктическӧй пелькӧдчӧмсӧ» вӧзйис нуӧдны «Вермӧмлы 50 во» атомнӧй ледоколлӧн капитан Дмитрий Лобусов.,С предложением провести «большую арктическую уборку» выступил капитан атомного ледокола «50 лет Победы» Дмитрий Лобусов.
90,"Сылысь водзмӧстчӧмсӧ ошкис уджъёртыс, «Ылі Асыввывса саридз пароходство» публичнӧй акционер котырса филиаллӧн Видзчысянлун да ногтуй департаментын юкӧнса капитан-наставник, Россия Федерацияса Уджвывса Герой Геннадий Антохин.","Который нашёл активную поддержку у своего коллеги, капитана-наставника отдела Департамента безопасности и качества филиала ПАО «Дальневосточное морское пароходство», Героя Труда Российской Федерации Геннадия Антохина."
91,"Тайӧ проектыс торъя коланлуна ӧні, 2021-2023 воясӧ Арктика сӧветын Россиялӧн юрнуӧдігӧн.",Особую актуальность этот проект приобретает в рамках председательства России в Арктическом совете в 2021-2023 годах.
92,"Пыдди пуктана капитанъяс, кодъяс бура тӧдӧны арктика мутасъяслысь мытшӧдъяссӧ, корисны дорйыны регионса вӧр-ва антропогеннӧй да техногеннӧй тӧдчӧмысь, а сідзжӧ вӧзйисны волонтёръяс отсӧгӧн лӧсьӧдны да збыльмӧдны экология боксянь чӧжсьӧм лёкторсӧ бырӧдӧм серти ӧтувъя уджтас.","Многоуважаемые капитаны, которые не понаслышке знают о проблемах арктических территорий, призвали защитить природу региона от антропогенного и техногенного воздействия, а также разработать и воплотить в жизнь силами волонтёров комплексную программу ликвидации накопленного экологического ущерба."
93,"На серти, Арктика весалан проектыс вермас лоны страна ӧтувтан зэв ыджыд миссияӧн.","По их мнению, проект по очистке Арктики может стать глобальной миссией, объединяющей всю страну."
94,Капитанъясӧс кылісны.,Посыл капитанов не остался незамеченным.
95,"Арктика паськыда весалӧм йылысь мӧвп дор сувтісны федеральнӧй власьтъясӧс, бизнес, экспертнӧй да научнӧй котыръясӧс петкӧдлысьяс.","Идею широкомасштабной арктической уборки поддержали представители федеральной власти, бизнеса, экспертного и научного сообществ."
96,"Презентация вылын сёрнитісны меставывса ӧтувъясӧс, тшӧтш и вужвойтырӧс, мутасса экологическӧй мытшӧдъяс разьӧмӧ кыскыны позянлун йылысь.","На презентации обсудили возможности вовлечения местных сообществ, включая коренные народы, в решение экологических проблем территорий."
97,"Таысь кындзи, заседание дырйи вӧлі петкӧдлӧма Россияса вӧр-ва озырлун видзӧмын власьтлысь да йӧзкотырлысь ӧтув уджаланногъяссӧ.","Кроме того, на заседании были представлены наиболее актуальные механизмы взаимодействия власти с представителями общественности в общем деле сохранения природного наследия России."
98,"Мероприятие дырйи Россияса ӧтйӧза палаталӧн площадка вылын Владимир Уйба висьталіс Коми Республикаса Арктика зонаын вӧр-ва видзӧмын шӧр мытшӧдъяс йылысь, кутшӧмъясӧс позьӧ разьны и «Сӧстӧм Арктика» проект збыльмӧдігӧн.","В ходе мероприятия на площадке Общественной палаты России Владимир Уйба озвучил основные природоохранные проблемы Арктической зоны Республики Коми, решение которых возможно в том числе в рамках проекта «Чистая Арктика»."
99,На лыдысь ӧти – историческӧя артмӧм да санкционируйттӧм ёг шыблаланінъяс бырӧдӧм.,Одна из них касается ликвидации несанкционированных и исторически сложившихся свалок.
100,Татшӧм ёг шыблаланінъяссӧ бырӧдан ногыс да сьӧмӧн могмӧдан ӧшмӧсъясыс талун абуӧсь.,Механизм и источники финансирования мероприятий по ликвидации таких свалок сегодня отсутствуют.
101,«Экология» национальнӧй проектса «Сӧстӧм страна» федеральнӧй проектӧн урчитӧма сӧмын олан пунктъясын шыбласъяс меститан объектъяс да торъя ӧпаснӧй (химическӧй да радиоактивнӧй) шыбласъяс меститан объектъяс бырӧдан ног да бырӧдан мероприятиеяс сьӧмӧн могмӧдан ӧшмӧс.,"Федеральным проектом «Чистая страна» Национального проекта «Экология» предусмотрен механизм и источник финансирования ликвидации объектов размещения отходов только в границах населённых пунктов и особо опасных объектов размещения отходов, таких как химические и радиоактивные."
102,Такӧд тшӧтш медся уна санкционируйттӧм ёг шыблаланіныс Коми Республикаын буретш олан пунктъясысь бокын.,При этом подавляющее число несанкционированных свалок в Республике Коми находится именно за пределами населённых пунктов.
103,"Тайӧ мытшӧдсӧ позьӧ разьны «Экология» национальнӧй проектса «Сӧстӧм страна» федеральнӧй проект паськӧдӧмӧн, медым вӧлі позянлун сетны субсидияяс кар суйӧр сайын санкционируйттӧм ёг шыблаланінъяс бырӧдӧм вылӧ.","Решить эту проблему можно, расширив действие федерального проекта «Чистая страна» нацпроекта «Экология» в части предоставления субсидий на ликвидацию несанкционированных свалок за пределами границ городов."
