,0,1
25,Велӧдчасны 800 час – 2021 вося вӧльгым тӧлыссянь 2022 вося ода-кора тӧлысьӧдз лоӧ котыртӧма куим вежонся куим очнӧй сессия да кык дистанционнӧй сессия.,Продолжительность обучения составит 800 часов – в течение ноября 2021- мая 2022 года будут организованы три очные сессии продолжительностью по три недели и две сессии в дистанционной форме.
26,Велӧдчӧмсӧ помалӧм бӧрын сетӧны выль уджсикасӧ велӧдчӧм йылысь диплом.,По завершении обучения выдается диплом о профессиональной переподготовке установленного образца.
27,"Уджтасын участвуйтӧмысь мынтысьӧны татшӧм ногӧн: став велӧдчан донысь 2/3 пайсӧ вештӧны федеральнӧй да регионса сьӧмкудйысь, 1/3 пайсӧ – организациялӧн либӧ специалистлӧн тшӧт весьтӧ (23,6 сюрс шайт).","Оплата участия в программе производится на условиях софинансирования – 2/3 общей стоимости обучения оплачивается из средств федерального и регионального бюджетов, 1/3 доли - за счет организации или специалиста (23,6 тыс. руб.)."
28,"Конкурс серти бӧрйӧмын участвуйтӧм могысь колӧ сетны заявка, документъяслысь копияяс, сёрнитчӧм, мотивационнӧй эссе да проектлысь презентация.","Для участия в конкурсном отборе необходимо предоставить заявку, копии документов, договор, мотивационное эссе и презентацию проекта."
29,Документъяслысь лыддьӧг да формаяссӧ йӧзӧдӧма www.pprk.rkomi.ru сайтын.,Перечень и формы документов размещены на сайте www.pprk.rkomi.ru.
30,Документъяссӧ виччысьӧны 2021 вося косму тӧлысь 20 лунӧдз.,Прием документов продлится до 20 апреля 2021 года.
31,Квалификационнӧй бӧрйӧмсӧ да собеседованиесӧ бура прӧйдитӧм бӧрын кандидат пырӧ Президентскӧй уджтасын участвуйтысьяс лыдӧ.,После успешного прохождения квалификационного отбора и собеседования кандидат становится участником Президентской программы.
32,"Президентскӧй уджтас – тайӧ аслыспӧлӧс позянлун, медым велӧдчӧм бӧрын разьны предприятиелысь стӧч мытшӧдъяссӧ, дасьтыны организация сӧвмӧдан бизнес-планъяс да проектъяс, лӧсьӧдны Россияса да суйӧрсайса предприятиеяскӧд удж, производство да экономика боксянь йитӧдъяс.","Президентская программа – это уникальная возможность через обучение решить конкретные проблемы предприятия, разработать бизнес-планы и проекты по развитию организации, установить деловые и производственно-экономические контакты с российскими и зарубежными предприятиями."
33,"Стӧчджык юӧрсӧ позьӧ тӧдмавны татшӧм телефон пыр: 8(8212) 304-872, либӧ pprk.rkomi.ru ӧтуввез-сайтысь.",Более подробную информацию можно получить по телефону 8(8212) 304-872 или на интернет-сайте: pprk.rkomi.ru
34,Юӧр:,Справка:
35,Президентскӧй уджтассӧ збыльмӧдӧны «Россия Федерацияса йӧзкост овмӧсын организацияяслы веськӧдлан кадръяс дасьтӧм йылысь» Россия Федерацияса Президентлӧн 1997 во сора тӧлысь 23 лунся 774 №-а Индӧд серти.,Президентская программа реализуется в рамках Указа Президента Российской Федерации от 23 июля 1997 г. № 774 «О подготовке управленческих кадров для организаций народного хозяйства Российской Федерации».
36,Коми Республикаын Президентскӧй уджтасыс пырӧ кадрӧвӧй политикаӧ.,В Республике Коми Президентская программа является составной частью кадровой политики.
37,Сы серти уджалӧны нин 20 воысь дырджык.,За более чем 20-летний период ее действия. 
38,"Тайӧ кад чӧжӧн Коми Республикаса 1 400-ысь унджык специалист босьтіс выль уджсикас да кыпӧдіс квалификациясӧ, на пиысь 290 гӧгӧр морт стажируйтчис Россияын да суйӧр сайын медбур предприятиеясын.","Более 1 400 специалистов Республики Коми прошли профессиональную переподготовку и повышение квалификации, около 290 из них прошли стажировку на ведущих предприятиях России и за рубежом."
39,Коми язык,Русский язык
40,Комиын дасьтасны «Арктикаса чими» федеральнӧй торъя мога уджтас ,В Коми разработают Федеральную целевую программу «Арктические лососевые» 
41,"Татшӧм помшуӧмсӧ примитӧма Коми Республикаын чери кыйӧм, нуӧм-вайӧм да вузалӧм бӧрся видзӧдӧм да дӧзьӧр серти ӧтув уджалысь веськӧдланінъясӧн да организацияясӧн юрнуӧдысьяслӧн ӧтувъя помшуӧм видлалан да вынсьӧдан сӧвещание бӧрын.","Такое решение принято по итогам совещания по рассмотрению и утверждению коллегиального решения руководителей взаимодействующих управлений и организаций по осуществлению контроля и надзора на этапах добычи, транспортировки и реализации водных биологических ресурсов в Республике Коми."
42,"Мероприятиеын участвуйтіс Чери кыйӧм серти федеральнӧй агентствоса Рытыв-Войвыв мутас веськӧдланінӧн юрнуӧдысь Александр Христенко, веськӧдлысьнас вӧлі Коми Республикаса Веськӧдлан котырӧн Юрнуӧдысьӧс Медводдза вежысь Игорь Булатов.",Мероприятие прошло с участием руководителя Северо-Западного территориального Управления Федерального агентства по рыболовству Александра Христенко под председательством Первого заместителя Председателя Правительства Республики Коми Игоря Булатова.
43,Федеральнӧй торъя мога уджтаслысь сюрӧссӧ гӧгӧрвоӧдіс регионса видз-му овмӧс да потребительскӧй рынок министр Денис Шаронов.,Концепцию Федеральной целевой программы представил министр сельского хозяйства и потребительского рынка региона Денис Шаронов.
44,"«Уджтаслӧн шӧр мог – бурмӧдны да колана ногӧн вӧдитчыны Коми Республикаса, Ненеч асвеськӧдлан кытшса да Архангельск обласьтса войвыв юясын чимиӧн да мукӧд дона чери сикасӧн.","«Программа заключается в восстановлении и рациональной эксплуатации лососевых и других ценных видов рыб в бассейнах северных рек РК, НАО и Архангельской области."
45,"Тайӧ отсалас бура сӧвмӧдны социальнӧй юкӧн, экономика, велӧдӧм, наука да техника, вӧр ваӧн вӧдитчӧм да промышленносьт, видзны да сӧвмӧдны Россияса Войвылын ичӧт войтыръяслысь оласногсӧ ӧти Уджтас серти, кутшӧмӧс збыльмӧдӧны Россияса Арктика зонаын став преференцияӧн вӧдитчӧмӧн», - пасйис аслас сёрниын Д. Шаронов.","В результате чего будет достигнут синергетический эффект роста в социальной сфере, экономике, образовании, науке и технике, природопользовании и промышленности, сохранении и развитии уклада жизни малых народов Севера России в рамках одной Программы, реализуемой с использованием всех преференций в Арктической зоне России»,- отметил в своем выступлении Д. Шаронов."
46,"Министрлӧн кывъяс серти, уджтасӧ пырас нёль уджтасув:","По словам министра, программа включит в себя четыре подпрограммы:"
47,"- мониторинг нуӧдан уджтасув – Печораса, Мозынса да Северодвинскса ковтысъяслысь биологическӧй ва озырлунсӧ да ва объектъяссӧ туялӧм сы могысь, медым естественнӧя да искусственнӧя рӧдмӧдны чими да мукӧд дона сикас чери.","- мониторинговая подпрограмма - исследования водных биологических ресурсов и водных объектов Печорского, Мезенского и Северодвинского бассейнов для целей естественного и искусственного воспроизводства лососевых и других ценных видов."
48,"Кульмыны вермысь сьӧмгалысь лыдсӧ донъялӧм, да уна-ӧ сылӧн ар ёсыс;",Оценка эффективной численности популяций семги и плотности молоди;
49,"- искусственнӧя рӧдмӧдан уджтасув – Печораса, Мозынса да Северодвинскса ковтысъяслӧн ва объектъясӧ чими да мукӧд дона сикас черилысь лэдзан ар ёс лыдсӧ уна пӧв содтӧм серти мероприятиеяс нуӧдӧм.","- подпрограмма искусственного воспроизводства - проведение комплекса мероприятий по многократному увеличению объемов выпускаемой молоди лососевых и других ценных видов рыб в водные объекты Печорского, Мезенского и Северодвинского бассейнов."
50,"Колана документъяс лӧсьӧдӧм, медым стрӧитны да водзӧ уджӧдны чери искусственнӧя рӧдмӧдан заводъяс да лэдзны арктикаса омуль, нельма, кебӧс, чир, пелядь;","Разработка необходимой документации для строительства и последующей эксплуатации рыбоводных заводов по искусственному воспроизводству и выпуску омуля арктического, нельмы, сига, чира, пеляди;"
51,"- чери кыян да естественнӧя рӧдмӧдан уджтасув – промышленнӧй да любительскӧй чери кыйӧмӧн биологическӧя подулалӧмӧн да социальнӧй нырвизьын веськӧдлӧм, Коми Республикаын, Ненеч асвеськӧдлан кытшын да Архангельск обласьтын озырлун перйӧм серти лӧсялана петантуйяс корсьӧм.","- подпрограмма рыболовства и естественного воспроизводства - биологически обоснованное и социально ориентированное управление промышленным и любительским рыболовством, выработка адекватных управленческих решений по добыче ресурсов на территории Республики Коми, НАО и Архангельской области."
52,"Чери кыян да агротуризм, туй да аэропорт инфраструктура сӧвмӧдӧм серти мероприятиеяслысь план дасьтӧм.","Подготовка плана мероприятий по развитию рыболовного и агротуризма, дорожной и аэропортовой инфраструктуры."
53,"Йӧзлы восьса мероприятиеяс, кутшӧмъясӧс веськӧдӧма сы вылӧ, медым лэдзны чими эньяссӧ кульманінъясӧдз, нуӧдан быд вося план дасьтӧм да збыльмӧдӧм, кӧні кутасны участвуйтны олысьяс (котыръяс);","Разработка и реализация ежегодного плана проведения публичных мероприятий с участием местного населения (общин), направленных на реальный пропуск части производителей семги(самок) к местам нереста;"
54,"чери видзан да ва видзан уджтасув – вылынджык индӧм Федерацияса субъектъясын чери видзан да ва видзан мероприятиеяслысь план дасьтӧм да уполномочитӧм органъяскӧд ӧтвылысь збыльмӧдӧм, мый серти пӧртасны олӧмӧ мукӧд уджтасувсӧ.","подпрограмма рыбоохраны и водоохраны - разработка и совместная с уполномоченными органами реализация плана бассейновых рыбоохранных и водоохранных мероприятий на территории упомянутых ранее субъектов Федерации по обеспечению исполнения вышестоящих подпрограмм, уделив особое внимание рыбоохране ближе к нерестилищам и в прибрежной зоне, а также водоохране в тех районах, где это необходимо, например, в Усинском районе Республики Коми."
55,"Торйӧн нин кульманінъяс да берег дорын черисӧ видзӧм, а сідзжӧ васӧ сійӧ районъясын видзӧм, кӧні тайӧ медъёна колӧ, шуам, Коми Республикаса Усинск районын.","Уделив особое внимание рыбоохране ближе к нерестилищам и в прибрежной зоне, а также водоохране в тех районах, где это необходимо, например, в Усинском районе Республики Коми."
56,"Печора ю ковтыссӧ Россияса чери кыйӧмӧн мутасса ӧти веськӧдланінлӧн юрнуӧдӧм улӧ пыртӧм сы могысь, медым видзны шоча паныдасьлысь биоресурсъяссӧ ю вомсянь ю йылӧдз.",Включение бассейна реки Печора в ведение одного территориального управления Росрыболовства в целях сохранения уникальных биоресурсов на всем протяжении путей миграции от устья до истока реки.
57,Уджъяссӧ нуӧдӧны Коми Республикаса Юралысь Владимир Уйбаӧн пуктӧм могъяссӧ збыльмӧдӧм могысь.,"Работа проводится во исполнение задач, поставленных Главой Республики Коми Владимиром Уйба."
58,"Коми Республикаса Веськӧдлан котырӧн Юрнуӧдысьӧс Медводдза вежысь Игорь Булатовлӧн тшӧктӧм серти матысса кадӧ лӧсьӧдасны торъя мога уджтас дасьтӧм серти регионъяскостса ведомствокостса уджалан группа сы могысь, медым бура дорйыны сійӧс федеральнӧй тшупӧдын да водзӧ збыльмӧдны.",По поручению Первого заместителя Председателя Правительства Республики Коми Игоря Булатова в ближайшее время будет создана межрегиональная межведомственная рабочая группа по разработке целевой программы для успешной ее защиты на федеральном уровне и дальнейшей реализации.
